StopName,ArrivalTime,DepartureTime
Golra sharif,07:00:00,07:00:00
Golra Sharif F-11/3,07:01:55,07:02:15
OPF Girls College,07:02:55,07:03:15
F-11 Markaz,07:04:25,07:04:45
PTCL F-11,07:05:10,07:05:30
Major Road,07:05:50,07:06:10
F-10/F-11 Chowk,07:07:10,07:07:30
IMCG F-10/2,07:08:30,07:08:50
IMCB F10/4,07:10:20,07:10:40
F-10 Markaz,07:12:15,07:12:35
Maroof International Hospital,07:14:05,07:14:25
Pakistan gate,07:15:55,07:16:15
PAF Hospital,07:17:15,07:17:35
Fazaia Housing Scheme,07:19:05,07:19:25
Shaheen Chowk,07:20:00,07:20:20
F-9 Park Gate 3/ Fazia Housing Schem,07:20:55,07:21:15
G-9/3,07:23:05,07:23:25
G-9 Markaz,07:25:15,07:25:35
G-9/1 and G-9/4,07:26:15,07:26:35
Karachi Company,07:27:20,07:27:40
G-9/4 Park,07:28:00,07:28:20
Taqwa Market,07:28:50,07:29:10
Chaman Metro Station,07:30:10,07:30:30
Ibn-e-Sina Metro Station,07:31:10,07:31:30
Tipu Market G-8,07:33:30,07:33:50
PIMS Hospital,07:35:00,07:35:00
Golra sharif,08:00:00,08:00:00
Golra Sharif F-11/3,08:01:55,08:02:15
OPF Girls College,08:02:55,08:03:15
F-11 Markaz,08:04:25,08:04:45
PTCL F-11,08:05:10,08:05:30
Major Road,08:05:50,08:06:10
F-10/F-11 Chowk,08:07:10,08:07:30
IMCG F-10/2,08:08:30,08:08:50
IMCB F10/4,08:10:20,08:10:40
F-10 Markaz,08:12:15,08:12:35
Maroof International Hospital,08:14:05,08:14:25
Pakistan gate,08:15:55,08:16:15
PAF Hospital,08:17:15,08:17:35
Fazaia Housing Scheme,08:19:05,08:19:25
Shaheen Chowk,08:20:00,08:20:20
F-9 Park Gate 3/ Fazia Housing Schem,08:20:55,08:21:15
G-9/3,08:23:05,08:23:25
G-9 Markaz,08:25:15,08:25:35
G-9/1 and G-9/4,08:26:15,08:26:35
Karachi Company,08:27:20,08:27:40
G-9/4 Park,08:28:00,08:28:20
Taqwa Market,08:28:50,08:29:10
Chaman Metro Station,08:30:10,08:30:30
Ibn-e-Sina Metro Station,08:31:10,08:31:30
Tipu Market G-8,08:33:30,08:33:50
PIMS Hospital,08:35:00,08:35:00
Golra sharif,09:00:00,09:00:00
Golra Sharif F-11/3,09:01:55,09:02:15
OPF Girls College,09:02:55,09:03:15
F-11 Markaz,09:04:25,09:04:45
PTCL F-11,09:05:10,09:05:30
Major Road,09:05:50,09:06:10
F-10/F-11 Chowk,09:07:10,09:07:30
IMCG F-10/2,09:08:30,09:08:50
IMCB F10/4,09:10:20,09:10:40
F-10 Markaz,09:12:15,09:12:35
Maroof International Hospital,09:14:05,09:14:25
Pakistan gate,09:15:55,09:16:15
