StopName,ArrivalTime,DepartureTime
Khanna Pul,07:15:00,07:15:00
Zia Masjid,07:17:48,07:18:08
Kuri Road,07:20:08,07:20:28
Iqbal Town,07:22:08,07:22:28
Dhok Kala Khan,07:24:03,07:24:23
Sohan,07:26:03,07:26:23
Faizabad,07:29:03,07:29:23
JP Metro Station,07:31:33,07:31:53
Potohar Metro Station,07:36:13,07:36:33
MCI Model School,07:38:23,07:38:43
CDA Complain Center,07:40:23,07:40:43
OGTI Stop,07:42:33,07:42:53
Sui Gas Stop,07:44:13,07:44:33
PTCL I-10,07:46:43,07:47:03
IESCO,07:48:33,07:48:53
Kurang Road,07:51:13,07:51:33
Mandi Morh,07:54:13,07:54:33
Sabzi Mandi,07:55:43,07:56:03
Metro CNC,07:58:23,07:58:43
IMC Hospital,08:01:03,08:01:23
PAEC General Hospital,08:02:13,08:02:33
Islamic University,08:05:03,08:05:23
FAST University,08:06:23,08:06:43
NPA,08:08:33,08:08:53
Police Foundation Metro Station,08:10:43,08:11:03
Nust Metro Station,08:13:13,08:13:13
Khanna Pul,08:15:00,08:15:00
Zia Masjid,08:17:48,08:18:08
Kuri Road,08:20:08,08:20:28
Iqbal Town,08:22:08,08:22:28
Dhok Kala Khan,08:24:03,08:24:23
Sohan,08:26:03,08:26:23
Faizabad,08:29:03,08:29:23
JP Metro Station,08:31:33,08:31:53
Potohar Metro Station,08:36:13,08:36:33
MCI Model School,08:38:23,08:38:43
CDA Complain Center,08:40:23,08:40:43
OGTI Stop,08:42:33,08:42:53
Sui Gas Stop,08:44:13,08:44:33
PTCL I-10,08:46:43,08:47:03
IESCO,08:48:33,08:48:53
Kurang Road,08:51:13,08:51:33
Mandi Morh,08:54:13,08:54:33
Sabzi Mandi,08:55:43,08:56:03
Metro CNC,08:58:23,08:58:43
IMC Hospital,09:01:03,09:01:23
PAEC General Hospital,09:02:13,09:02:33
Islamic University,09:05:03,09:05:23
FAST University,09:06:23,09:06:43
NPA,09:08:33,09:08:53
Police Foundation Metro Station,09:10:43,09:11:03
Nust Metro Station,09:13:13,09:13:13
Khanna Pul,09:15:00,09:15:00
Zia Masjid,09:17:48,09:18:08
Kuri Road,09:20:08,09:20:28
Iqbal Town,09:22:08,09:22:28
Dhok Kala Khan,09:24:03,09:24:23
Sohan,09:26:03,09:26:23
Faizabad,09:29:03,09:29:23
JP Metro Station,09:31:33,09:31:53
Potohar Metro Station,09:36:13,09:36:33
MCI Model School,09:38:23,09:38:43
CDA Complain Center,09:40:23,09:40:43
OGTI Stop,09:42:33,09:42:53
Sui Gas Stop,09:44:13,09:44:33
PTCL I-10,09:46:43,09:47:03
IESCO,09:48:33,09:48:53
Kurang Road,09:51:13,09:51:33
Mandi Morh,09:54:13,09:54:33
Sabzi Mandi,09:55:43,09:56:03
Metro CNC,09:58:23,09:58:43
IMC Hospital,10:01:03,10:01:23
PAEC General Hospital,10:02:13,10:02:33
Islamic University,10:05:03,10:05:23
FAST University,10:06:23,10:06:43
NPA,10:08:33,10:08:53
Police Foundation Metro Station,10:10:43,10:11:03
Nust Metro Station,10:13:13,10:13:13
Khanna Pul,10:15:00,10:15:00
Zia Masjid,10:17:48,10:18:08
Kuri Road,10:20:08,10:20:28
Iqbal Town,10:22:08,10:22:28
Dhok Kala Khan,10:24:03,10:24:23
Sohan,10:26:03,10:26:23
Faizabad,10:29:03,10:29:23
JP Metro Station,10:31:33,10:31:53
Potohar Metro Station,10:36:13,10:36:33
MCI Model School,10:38:23,10:38:43
CDA Complain Center,10:40:23,10:40:43
OGTI Stop,10:42:33,10:42:53
Sui Gas Stop,10:44:13,10:44:33
PTCL I-10,10:46:43,10:47:03
IESCO,10:48:33,10:48:53
Kurang Road,10:51:13,10:51:33
Mandi Morh,10:54:13,10:54:33
Sabzi Mandi,10:55:43,10:56:03
Metro CNC,10:58:23,10:58:43
IMC Hospital,11:01:03,11:01:23
PAEC General Hospital,11:02:13,11:02:33
Islamic University,11:05:03,11:05:23
FAST University,11:06:23,11:06:43
NPA,11:08:33,11:08:53
Police Foundation Metro Station,11:10:43,11:11:03
Nust Metro Station,11:13:13,11:13:13
Khanna Pul,11:15:00,11:15:00
Zia Masjid,11:17:48,11:18:08
Kuri Road,11:20:08,11:20:28
Iqbal Town,11:22:08,11:22:28
Dhok Kala Khan,11:24:03,11:24:23
Sohan,11:26:03,11:26:23
Faizabad,11:29:03,11:29:23
JP Metro Station,11:31:33,11:31:53
Potohar Metro Station,11:36:13,11:36:33
MCI Model School,11:38:23,11:38:43
CDA Complain Center,11:40:23,11:40:43
OGTI Stop,11:42:33,11:42:53
Sui Gas Stop,11:44:13,11:44:33
PTCL I-10,11:46:43,11:47:03
IESCO,11:48:33,11:48:53
Kurang Road,11:51:13,11:51:33
Mandi Morh,11:54:13,11:54:33
Sabzi Mandi,11:55:43,11:56:03
Metro CNC,11:58:23,11:58:43
IMC Hospital,12:01:03,12:01:23
PAEC General Hospital,12:02:13,12:02:33
Islamic University,12:05:03,12:05:23
FAST University,12:06:23,12:06:43
NPA,12:08:33,12:08:53
Police Foundation Metro Station,12:10:43,12:11:03
Nust Metro Station,12:13:13,12:13:13
Khanna Pul,12:15:00,12:15:00
Zia Masjid,12:17:48,12:18:08
Kuri Road,12:20:08,12:20:28
Iqbal Town,12:22:08,12:22:28
Dhok Kala Khan,12:24:03,12:24:23
Sohan,12:26:03,12:26:23
Faizabad,12:29:03,12:29:23
JP Metro Station,12:31:33,12:31:53
Potohar Metro Station,12:36:13,12:36:33
MCI Model School,12:38:23,12:38:43
CDA Complain Center,12:40:23,12:40:43
OGTI Stop,12:42:33,12:42:53
Sui Gas Stop,12:44:13,12:44:33
PTCL I-10,12:46:43,12:47:03
IESCO,12:48:33,12:48:53
Kurang Road,12:51:13,12:51:33
Mandi Morh,12:54:13,12:54:33
Sabzi Mandi,12:55:43,12:56:03
Metro CNC,12:58:23,12:58:43
IMC Hospital,13:01:03,13:01:23
PAEC General Hospital,13:02:13,13:02:33
Islamic University,13:05:03,13:05:23
FAST University,13:06:23,13:06:43
NPA,13:08:33,13:08:53
Police Foundation Metro Station,13:10:43,13:11:03
Nust Metro Station,13:13:13,13:13:13
Khanna Pul,13:15:00,13:15:00
Zia Masjid,13:17:48,13:18:08
Kuri Road,13:20:08,13:20:28
Iqbal Town,13:22:08,13:22:28
Dhok Kala Khan,13:24:03,13:24:23
Sohan,13:26:03,13:26:23
Faizabad,13:29:03,13:29:23
JP Metro Station,13:31:33,13:31:53
Potohar Metro Station,13:36:13,13:36:33
MCI Model School,13:38:23,13:38:43
CDA Complain Center,13:40:23,13:40:43
OGTI Stop,13:42:33,13:42:53
Sui Gas Stop,13:44:13,13:44:33
PTCL I-10,13:46:43,13:47:03
IESCO,13:48:33,13:48:53
Kurang Road,13:51:13,13:51:33
Mandi Morh,13:54:13,13:54:33
Sabzi Mandi,13:55:43,13:56:03
Metro CNC,13:58:23,13:58:43
IMC Hospital,14:01:03,14:01:23
PAEC General Hospital,14:02:13,14:02:33
Islamic University,14:05:03,14:05:23
FAST University,14:06:23,14:06:43
NPA,14:08:33,14:08:53
Police Foundation Metro Station,14:10:43,14:11:03
Nust Metro Station,14:13:13,14:13:13
Khanna Pul,14:15:00,14:15:00
Zia Masjid,14:17:48,14:18:08
Kuri Road,14:20:08,14:20:28
Iqbal Town,14:22:08,14:22:28
Dhok Kala Khan,14:24:03,14:24:23
Sohan,14:26:03,14:26:23
Faizabad,14:29:03,14:29:23
JP Metro Station,14:31:33,14:31:53
Potohar Metro Station,14:36:13,14:36:33
MCI Model School,14:38:23,14:38:43
CDA Complain Center,14:40:23,14:40:43
OGTI Stop,14:42:33,14:42:53
Sui Gas Stop,14:44:13,14:44:33
PTCL I-10,14:46:43,14:47:03
IESCO,14:48:33,14:48:53
Kurang Road,14:51:13,14:51:33
Mandi Morh,14:54:13,14:54:33
Sabzi Mandi,14:55:43,14:56:03
Metro CNC,14:58:23,14:58:43
IMC Hospital,15:01:03,15:01:23
PAEC General Hospital,15:02:13,15:02:33
Islamic University,15:05:03,15:05:23
FAST University,15:06:23,15:06:43
NPA,15:08:33,15:08:53
Police Foundation Metro Station,15:10:43,15:11:03
Nust Metro Station,15:13:13,15:13:13
Khanna Pul,15:15:00,15:15:00
Zia Masjid,15:17:48,15:18:08
Kuri Road,15:20:08,15:20:28
Iqbal Town,15:22:08,15:22:28
Dhok Kala Khan,15:24:03,15:24:23
Sohan,15:26:03,15:26:23
Faizabad,15:29:03,15:29:23
JP Metro Station,15:31:33,15:31:53
Potohar Metro Station,15:36:13,15:36:33
MCI Model School,15:38:23,15:38:43
CDA Complain Center,15:40:23,15:40:43
OGTI Stop,15:42:33,15:42:53
Sui Gas Stop,15:44:13,15:44:33
PTCL I-10,15:46:43,15:47:03
IESCO,15:48:33,15:48:53
Kurang Road,15:51:13,15:51:33
Mandi Morh,15:54:13,15:54:33
Sabzi Mandi,15:55:43,15:56:03
Metro CNC,15:58:23,15:58:43
IMC Hospital,16:01:03,16:01:23
PAEC General Hospital,16:02:13,16:02:33
Islamic University,16:05:03,16:05:23
FAST University,16:06:23,16:06:43
NPA,16:08:33,16:08:53
Police Foundation Metro Station,16:10:43,16:11:03
Nust Metro Station,16:13:13,16:13:13
Khanna Pul,16:15:00,16:15:00
Zia Masjid,16:17:48,16:18:08
Kuri Road,16:20:08,16:20:28
Iqbal Town,16:22:08,16:22:28
Dhok Kala Khan,16:24:03,16:24:23
Sohan,16:26:03,16:26:23
Faizabad,16:29:03,16:29:23
JP Metro Station,16:31:33,16:31:53
Potohar Metro Station,16:36:13,16:36:33
MCI Model School,16:38:23,16:38:43
CDA Complain Center,16:40:23,16:40:43
OGTI Stop,16:42:33,16:42:53
Sui Gas Stop,16:44:13,16:44:33
PTCL I-10,16:46:43,16:47:03
IESCO,16:48:33,16:48:53
Kurang Road,16:51:13,16:51:33
Mandi Morh,16:54:13,16:54:33
