StopName,ArrivalTime,DepartureTime
Police Foundation Metro Station,06:00:00,06:00:00
A.K Bari Road,06:01:00,06:01:20
Bar Council,06:02:10,06:02:30
NUST Metro Station,06:03:50,06:04:10
Mehrabad,06:10:20,06:10:40
G-11 Markaz,06:12:35,06:12:55
Institute of Modern Studies,06:14:31,06:14:51
G-10/G-11,06:15:41,06:16:01
Tanki Stop,06:18:28,06:18:48
PHA Flats,06:19:28,06:19:48
G-10 Markaz,06:20:28,06:20:48
College Morh,06:22:38,06:22:58
Police Flats,06:25:13,06:25:33
G-9 Markaz,06:27:59,06:28:19
Karachi Company,06:30:24,06:30:44
G-9/4,06:31:34,06:31:54
Chaman Metro Station,06:33:32,06:33:52
Development Park,06:35:25,06:35:45
G-8 Markaz,06:37:28,06:37:48
Dental Hospital,06:38:44,06:39:04
NORI Hospital,06:41:57,06:42:17
Children Hospital,06:44:28,06:44:48
PIMS Hospital,06:47:20,06:47:20
Police Foundation Metro Station,06:10:00,06:10:00
A.K Bari Road,06:11:00,06:11:20
Bar Council,06:12:10,06:12:30
NUST Metro Station,06:13:50,06:14:10
Mehrabad,06:20:20,06:20:40
G-11 Markaz,06:22:35,06:22:55
Institute of Modern Studies,06:24:31,06:24:51
G-10/G-11,06:25:41,06:26:01
Tanki Stop,06:28:28,06:28:48
PHA Flats,06:29:28,06:29:48
G-10 Markaz,06:30:28,06:30:48
College Morh,06:32:38,06:32:58
Police Flats,06:35:13,06:35:33
G-9 Markaz,06:37:59,06:38:19
Karachi Company,06:40:24,06:40:44
G-9/4,06:41:34,06:41:54
Chaman Metro Station,06:43:32,06:43:52
Development Park,06:45:25,06:45:45
G-8 Markaz,06:47:28,06:47:48
Dental Hospital,06:48:44,06:49:04
NORI Hospital,06:51:57,06:52:17
Children Hospital,06:54:28,06:54:48
PIMS Hospital,06:57:20,06:57:20
Police Foundation Metro Station,06:20:00,06:20:00
A.K Bari Road,06:21:00,06:21:20
Bar Council,06:22:10,06:22:30
NUST Metro Station,06:23:50,06:24:10
Mehrabad,06:30:20,06:30:40
G-11 Markaz,06:32:35,06:32:55
Institute of Modern Studies,06:34:31,06:34:51
G-10/G-11,06:35:41,06:36:01
Tanki Stop,06:38:28,06:38:48
PHA Flats,06:39:28,06:39:48
G-10 Markaz,06:40:28,06:40:48
College Morh,06:42:38,06:42:58
Police Flats,06:45:13,06:45:33
G-9 Markaz,06:47:59,06:48:19
Karachi Company,06:50:24,06:50:44
G-9/4,06:51:34,06:51:54
Chaman Metro Station,06:53:32,06:53:52
Development Park,06:55:25,06:55:45
G-8 Markaz,06:57:28,06:57:48
Dental Hospital,06:58:44,06:59:04
NORI Hospital,07:01:57,07:02:17
Children Hospital,07:04:28,07:04:48
PIMS Hospital,07:07:20,07:07:20
Police Foundation Metro Station,06:30:00,06:30:00
A.K Bari Road,06:31:00,06:31:20
Bar Council,06:32:10,06:32:30
NUST Metro Station,06:33:50,06:34:10
Mehrabad,06:40:20,06:40:40
G-11 Markaz,06:42:35,06:42:55
Institute of Modern Studies,06:44:31,06:44:51
G-10/G-11,06:45:41,06:46:01
Tanki Stop,06:48:28,06:48:48
PHA Flats,06:49:28,06:49:48
G-10 Markaz,06:50:28,06:50:48
College Morh,06:52:38,06:52:58
Police Flats,06:55:13,06:55:33
G-9 Markaz,06:57:59,06:58:19
Karachi Company,07:00:24,07:00:44
G-9/4,07:01:34,07:01:54
Chaman Metro Station,07:03:32,07:03:52
Development Park,07:05:25,07:05:45
G-8 Markaz,07:07:28,07:07:48
Dental Hospital,07:08:44,07:09:04
NORI Hospital,07:11:57,07:12:17
Children Hospital,07:14:28,07:14:48
PIMS Hospital,07:17:20,07:17:20
Police Foundation Metro Station,06:40:00,06:40:00
A.K Bari Road,06:41:00,06:41:20
Bar Council,06:42:10,06:42:30
NUST Metro Station,06:43:50,06:44:10
Mehrabad,06:50:20,06:50:40
G-11 Markaz,06:52:35,06:52:55
Institute of Modern Studies,06:54:31,06:54:51
G-10/G-11,06:55:41,06:56:01
Tanki Stop,06:58:28,06:58:48
PHA Flats,06:59:28,06:59:48
G-10 Markaz,07:00:28,07:00:48
College Morh,07:02:38,07:02:58
Police Flats,07:05:13,07:05:33
G-9 Markaz,07:07:59,07:08:19
Karachi Company,07:10:24,07:10:44
G-9/4,07:11:34,07:11:54
Chaman Metro Station,07:13:32,07:13:52
Development Park,07:15:25,07:15:45
G-8 Markaz,07:17:28,07:17:48
Dental Hospital,07:18:44,07:19:04
NORI Hospital,07:21:57,07:22:17
Children Hospital,07:24:28,07:24:48
PIMS Hospital,07:27:20,07:27:20
Police Foundation Metro Station,06:50:00,06:50:00
