StopName,ArrivalTime,DepartureTime
Fateh Jang,07:15:00,07:15:00
Civil CT Road,07:17:15,07:17:35
Akram City,07:19:15,07:19:35
The Avanue 03,07:21:45,07:22:05
Garhi Hasu Khan,07:24:45,07:25:05
Prem Nagar Faqeeran,07:27:25,07:27:45
Hattar,07:30:55,07:31:15
Afridi Bagh,07:32:35,07:32:55
Bangu Chowk,07:35:10,07:35:30
Qutbal,07:39:20,07:39:40
Doiyan,07:41:50,07:42:10
Mangial Main Stop,07:44:50,07:45:10
Mangial Link Road 2,07:48:10,07:48:30
Graceland Housing Society,07:50:30,07:50:50
Mangial Link Road 1,07:54:05,07:54:25
Dhok Miskeen,07:57:35,07:57:55
Mohri Patak,08:00:20,08:00:40
PECHS,08:03:00,08:03:20
Dhuma,08:04:35,08:04:55
Madni Chowk,08:07:25,08:07:45
Airport Enclave,08:09:25,08:09:45
Mumtaz City,08:11:20,08:11:40
Top City,08:12:55,08:13:15
Masjid Abu Al Qasim,08:14:25,08:14:45
G-16/1,08:15:40,08:16:00
G-16/H-16,08:17:40,08:18:00
G-15/H-15,08:21:10,08:21:30
N5 Metro Station,08:23:00,08:23:20
Golra Morh Metro Station,08:25:30,08:25:50
Fateh Jang,08:15:00,08:15:00
Civil CT Road,08:17:15,08:17:35
Akram City,08:19:15,08:19:35
The Avanue 03,08:21:45,08:22:05
Garhi Hasu Khan,08:24:45,08:25:05
Prem Nagar Faqeeran,08:27:25,08:27:45
Hattar,08:30:55,08:31:15
Afridi Bagh,08:32:35,08:32:55
Bangu Chowk,08:35:10,08:35:30
Qutbal,08:39:20,08:39:40
Doiyan,08:41:50,08:42:10
Mangial Main Stop,08:44:50,08:45:10
Mangial Link Road 2,08:48:10,08:48:30
Graceland Housing Society,08:50:30,08:50:50
Mangial Link Road 1,08:54:05,08:54:25
Dhok Miskeen,08:57:35,08:57:55
Mohri Patak,09:00:20,09:00:40
PECHS,09:03:00,09:03:20
Dhuma,09:04:35,09:04:55
Madni Chowk,09:07:25,09:07:45
Airport Enclave,09:09:25,09:09:45
Mumtaz City,09:11:20,09:11:40
Top City,09:12:55,09:13:15
Masjid Abu Al Qasim,09:14:25,09:14:45
G-16/1,09:15:40,09:16:00
G-16/H-16,09:17:40,09:18:00
G-15/H-15,09:21:10,09:21:30
N5 Metro Station,09:23:00,09:23:20
Golra Morh Metro Station,09:25:30,09:25:50
Fateh Jang,09:15:00,09:15:00
Civil CT Road,09:17:15,09:17:35
Akram City,09:19:15,09:19:35
The Avanue 03,09:21:45,09:22:05
Garhi Hasu Khan,09:24:45,09:25:05
Prem Nagar Faqeeran,09:27:25,09:27:45
Hattar,09:30:55,09:31:15
Afridi Bagh,09:32:35,09:32:55
Bangu Chowk,09:35:10,09:35:30
Qutbal,09:39:20,09:39:40
Doiyan,09:41:50,09:42:10
Mangial Main Stop,09:44:50,09:45:10
Mangial Link Road 2,09:48:10,09:48:30
Graceland Housing Society,09:50:30,09:50:50
Mangial Link Road 1,09:54:05,09:54:25
Dhok Miskeen,09:57:35,09:57:55
Mohri Patak,10:00:20,10:00:40
PECHS,10:03:00,10:03:20
Dhuma,10:04:35,10:04:55
Madni Chowk,10:07:25,10:07:45
Airport Enclave,10:09:25,10:09:45
Mumtaz City,10:11:20,10:11:40
Top City,10:12:55,10:13:15
Masjid Abu Al Qasim,10:14:25,10:14:45
G-16/1,10:15:40,10:16:00
G-16/H-16,10:17:40,10:18:00
G-15/H-15,10:21:10,10:21:30
N5 Metro Station,10:23:00,10:23:20
Golra Morh Metro Station,10:25:30,10:25:50
Fateh Jang,10:15:00,10:15:00
Civil CT Road,10:17:15,10:17:35
Akram City,10:19:15,10:19:35
The Avanue 03,10:21:45,10:22:05
Garhi Hasu Khan,10:24:45,10:25:05
Prem Nagar Faqeeran,10:27:25,10:27:45
Hattar,10:30:55,10:31:15
Afridi Bagh,10:32:35,10:32:55
Bangu Chowk,10:35:10,10:35:30
Qutbal,10:39:20,10:39:40
Doiyan,10:41:50,10:42:10
Mangial Main Stop,10:44:50,10:45:10
Mangial Link Road 2,10:48:10,10:48:30
Graceland Housing Society,10:50:30,10:50:50
Mangial Link Road 1,10:54:05,10:54:25
Dhok Miskeen,10:57:35,10:57:55
Mohri Patak,11:00:20,11:00:40
PECHS,11:03:00,11:03:20
Dhuma,11:04:35,11:04:55
Madni Chowk,11:07:25,11:07:45
Airport Enclave,11:09:25,11:09:45
Mumtaz City,11:11:20,11:11:40
Top City,11:12:55,11:13:15
Masjid Abu Al Qasim,11:14:25,11:14:45
G-16/1,11:15:40,11:16:00
G-16/H-16,11:17:40,11:18:00
G-15/H-15,11:21:10,11:21:30
N5 Metro Station,11:23:00,11:23:20
Golra Morh Metro Station,11:25:30,11:25:50
Fateh Jang,11:15:00,11:15:00
Civil CT Road,11:17:15,11:17:35
Akram City,11:19:15,11:19:35
The Avanue 03,11:21:45,11:22:05
Garhi Hasu Khan,11:24:45,11:25:05
Prem Nagar Faqeeran,11:27:25,11:27:45
Hattar,11:30:55,11:31:15
Afridi Bagh,11:32:35,11:32:55
Bangu Chowk,11:35:10,11:35:30
Qutbal,11:39:20,11:39:40
Doiyan,11:41:50,11:42:10
Mangial Main Stop,11:44:50,11:45:10
Mangial Link Road 2,11:48:10,11:48:30
Graceland Housing Society,11:50:30,11:50:50
Mangial Link Road 1,11:54:05,11:54:25
Dhok Miskeen,11:57:35,11:57:55
Mohri Patak,12:00:20,12:00:40
PECHS,12:03:00,12:03:20
Dhuma,12:04:35,12:04:55
Madni Chowk,12:07:25,12:07:45
Airport Enclave,12:09:25,12:09:45
Mumtaz City,12:11:20,12:11:40
Top City,12:12:55,12:13:15
Masjid Abu Al Qasim,12:14:25,12:14:45
G-16/1,12:15:40,12:16:00
G-16/H-16,12:17:40,12:18:00
G-15/H-15,12:21:10,12:21:30
N5 Metro Station,12:23:00,12:23:20
Golra Morh Metro Station,12:25:30,12:25:50
Fateh Jang,12:15:00,12:15:00
Civil CT Road,12:17:15,12:17:35
Akram City,12:19:15,12:19:35
The Avanue 03,12:21:45,12:22:05
Garhi Hasu Khan,12:24:45,12:25:05
Prem Nagar Faqeeran,12:27:25,12:27:45
Hattar,12:30:55,12:31:15
Afridi Bagh,12:32:35,12:32:55
Bangu Chowk,12:35:10,12:35:30
Qutbal,12:39:20,12:39:40
Doiyan,12:41:50,12:42:10
Mangial Main Stop,12:44:50,12:45:10
Mangial Link Road 2,12:48:10,12:48:30
Graceland Housing Society,12:50:30,12:50:50
Mangial Link Road 1,12:54:05,12:54:25
Dhok Miskeen,12:57:35,12:57:55
Mohri Patak,13:00:20,13:00:40
PECHS,13:03:00,13:03:20
Dhuma,13:04:35,13:04:55
Madni Chowk,13:07:25,13:07:45
Airport Enclave,13:09:25,13:09:45
Mumtaz City,13:11:20,13:11:40
Top City,13:12:55,13:13:15
Masjid Abu Al Qasim,13:14:25,13:14:45
G-16/1,13:15:40,13:16:00
G-16/H-16,13:17:40,13:18:00
G-15/H-15,13:21:10,13:21:30
