StopName,ArrivalTime,DepartureTime
T- Chowk,06:50:00,06:50:00
SUPARCO,06:52:00,06:52:20
DHA Gate 07,06:54:20,06:54:40
DHA Gate 08,06:56:40,06:57:00
Kaak Pul,06:59:00,06:59:20
River Gardens,07:01:20,07:01:40
Soan Gardens H Block,07:03:40,07:04:00
Soan Gardens G Block,07:06:00,07:06:20
Soan Gardens E Block,07:08:20,07:08:40
PWD Housing Society,07:10:40,07:11:00
Pagh Chowk,07:13:00,07:13:20
Gulberg,07:15:20,07:15:40
Koral Town,07:17:40,07:18:00
Gangal,07:20:00,07:20:20
Fazaia,07:22:20,07:22:40
Khanna Pul,07:24:40,07:24:40
T- Chowk,07:20:00,07:20:00
SUPARCO,07:22:00,07:22:20
DHA Gate 07,07:24:20,07:24:40
DHA Gate 08,07:26:40,07:27:00
Kaak Pul,07:29:00,07:29:20
River Gardens,07:31:20,07:31:40
Soan Gardens H Block,07:33:40,07:34:00
Soan Gardens G Block,07:36:00,07:36:20
Soan Gardens E Block,07:38:20,07:38:40
PWD Housing Society,07:40:40,07:41:00
Pagh Chowk,07:43:00,07:43:20
Gulberg,07:45:20,07:45:40
Koral Town,07:47:40,07:48:00
Gangal,07:50:00,07:50:20
Fazaia,07:52:20,07:52:40
Khanna Pul,07:54:40,07:54:40
T- Chowk,07:50:00,07:50:00
SUPARCO,07:52:00,07:52:20
DHA Gate 07,07:54:20,07:54:40
DHA Gate 08,07:56:40,07:57:00
Kaak Pul,07:59:00,07:59:20
River Gardens,08:01:20,08:01:40
Soan Gardens H Block,08:03:40,08:04:00
Soan Gardens G Block,08:06:00,08:06:20
Soan Gardens E Block,08:08:20,08:08:40
PWD Housing Society,08:10:40,08:11:00
Pagh Chowk,08:13:00,08:13:20
Gulberg,08:15:20,08:15:40
Koral Town,08:17:40,08:18:00
Gangal,08:20:00,08:20:20
Fazaia,08:22:20,08:22:40
Khanna Pul,08:24:40,08:24:40
T- Chowk,08:20:00,08:20:00
SUPARCO,08:22:00,08:22:20
DHA Gate 07,08:24:20,08:24:40
DHA Gate 08,08:26:40,08:27:00
Kaak Pul,08:29:00,08:29:20
