StopName,ArrivalTime,DepartureTime
Satra Meel,06:30:00,06:30:00
Al Wadi Colony,06:31:20,06:31:40
Punjab College,06:32:20,06:32:40
Dhok Badam,06:33:20,06:33:40
Phulgran,06:34:15,06:34:35
Akbar Niazi Hospital,06:35:10,06:35:30
Traders Colony,06:36:50,06:37:10
Shahpur Link Road,06:39:10,06:39:30
Nai Abadi,06:40:30,06:40:50
Bhera Pull,06:43:00,06:43:20
Barakahu Bazar,06:45:30,06:45:50
Athal Chowk,06:48:30,06:48:50
Col. Ammanullah Road,06:50:30,06:50:50
Mangu Town,06:51:40,06:52:00
Barakahu Terminal,06:53:50,06:53:50
Satra Meel,06:45:00,06:45:00
Al Wadi Colony,06:46:20,06:46:40
Punjab College,06:47:20,06:47:40
Dhok Badam,06:48:20,06:48:40
Phulgran,06:49:15,06:49:35
Akbar Niazi Hospital,06:50:10,06:50:30
Traders Colony,06:51:50,06:52:10
Shahpur Link Road,06:54:10,06:54:30
Nai Abadi,06:55:30,06:55:50
Bhera Pull,06:58:00,06:58:20
Barakahu Bazar,07:00:30,07:00:50
Athal Chowk,07:03:30,07:03:50
Col. Ammanullah Road,07:05:30,07:05:50
Mangu Town,07:06:40,07:07:00
Barakahu Terminal,07:08:50,07:08:50
Satra Meel,07:00:00,07:00:00
Al Wadi Colony,07:01:20,07:01:40
Punjab College,07:02:20,07:02:40
Dhok Badam,07:03:20,07:03:40
Phulgran,07:04:15,07:04:35
Akbar Niazi Hospital,07:05:10,07:05:30
Traders Colony,07:06:50,07:07:10
Shahpur Link Road,07:09:10,07:09:30
Nai Abadi,07:10:30,07:10:50
Bhera Pull,07:13:00,07:13:20
Barakahu Bazar,07:15:30,07:15:50
Athal Chowk,07:18:30,07:18:50
Col. Ammanullah Road,07:20:30,07:20:50
Mangu Town,07:21:40,07:22:00
Barakahu Terminal,07:23:50,07:23:50
Satra Meel,07:15:00,07:15:00
Al Wadi Colony,07:16:20,07:16:40
Punjab College,07:17:20,07:17:40
Dhok Badam,07:18:20,07:18:40
Phulgran,07:19:15,07:19:35
Akbar Niazi Hospital,07:20:10,07:20:30
Traders Colony,07:21:50,07:22:10
Shahpur Link Road,07:24:10,07:24:30
Nai Abadi,07:25:30,07:25:50
Bhera Pull,07:28:00,07:28:20
Barakahu Bazar,07:30:30,07:30:50
Athal Chowk,07:33:30,07:33:50
Col. Ammanullah Road,07:35:30,07:35:50
Mangu Town,07:36:40,07:37:00
Barakahu Terminal,07:38:50,07:38:50
Satra Meel,07:30:00,07:30:00
Al Wadi Colony,07:31:20,07:31:40
Punjab College,07:32:20,07:32:40
Dhok Badam,07:33:20,07:33:40
Phulgran,07:34:15,07:34:35
Akbar Niazi Hospital,07:35:10,07:35:30
Traders Colony,07:36:50,07:37:10
Shahpur Link Road,07:39:10,07:39:30
Nai Abadi,07:40:30,07:40:50
Bhera Pull,07:43:00,07:43:20
Barakahu Bazar,07:45:30,07:45:50
Athal Chowk,07:48:30,07:48:50
Col. Ammanullah Road,07:50:30,07:50:50
Mangu Town,07:51:40,07:52:00
Barakahu Terminal,07:53:50,07:53:50
Satra Meel,07:45:00,07:45:00
Al Wadi Colony,07:46:20,07:46:40
Punjab College,07:47:20,07:47:40
Dhok Badam,07:48:20,07:48:40
Phulgran,07:49:15,07:49:35
Akbar Niazi Hospital,07:50:10,07:50:30
Traders Colony,07:51:50,07:52:10
Shahpur Link Road,07:54:10,07:54:30
Nai Abadi,07:55:30,07:55:50
Bhera Pull,07:58:00,07:58:20
Barakahu Bazar,08:00:30,08:00:50
Athal Chowk,08:03:30,08:03:50
Col. Ammanullah Road,08:05:30,08:05:50
Mangu Town,08:06:40,08:07:00
Barakahu Terminal,08:08:50,08:08:50
Satra Meel,08:00:00,08:00:00
Al Wadi Colony,08:01:20,08:01:40
Punjab College,08:02:20,08:02:40
Dhok Badam,08:03:20,08:03:40
Phulgran,08:04:15,08:04:35
Akbar Niazi Hospital,08:05:10,08:05:30
Traders Colony,08:06:50,08:07:10
Shahpur Link Road,08:09:10,08:09:30
Nai Abadi,08:10:30,08:10:50
Bhera Pull,08:13:00,08:13:20
Barakahu Bazar,08:15:30,08:15:50
Athal Chowk,08:18:30,08:18:50
Col. Ammanullah Road,08:20:30,08:20:50
Mangu Town,08:21:40,08:22:00
Barakahu Terminal,08:23:50,08:23:50
Satra Meel,08:15:00,08:15:00
Al Wadi Colony,08:16:20,08:16:40
Punjab College,08:17:20,08:17:40
Dhok Badam,08:18:20,08:18:40
Phulgran,08:19:15,08:19:35
Akbar Niazi Hospital,08:20:10,08:20:30
Traders Colony,08:21:50,08:22:10
Shahpur Link Road,08:24:10,08:24:30
Nai Abadi,08:25:30,08:25:50
Bhera Pull,08:28:00,08:28:20
Barakahu Bazar,08:30:30,08:30:50
Athal Chowk,08:33:30,08:33:50
Col. Ammanullah Road,08:35:30,08:35:50
Mangu Town,08:36:40,08:37:00
Barakahu Terminal,08:38:50,08:38:50
Satra Meel,08:30:00,08:30:00
Al Wadi Colony,08:31:20,08:31:40
Punjab College,08:32:20,08:32:40
Dhok Badam,08:33:20,08:33:40
Phulgran,08:34:15,08:34:35
Akbar Niazi Hospital,08:35:10,08:35:30
Traders Colony,08:36:50,08:37:10
Shahpur Link Road,08:39:10,08:39:30
Nai Abadi,08:40:30,08:40:50
Bhera Pull,08:43:00,08:43:20
Barakahu Bazar,08:45:30,08:45:50
Athal Chowk,08:48:30,08:48:50
Col. Ammanullah Road,08:50:30,08:50:50
Mangu Town,08:51:40,08:52:00
Barakahu Terminal,08:53:50,08:53:50
Satra Meel,08:45:00,08:45:00
Al Wadi Colony,08:46:20,08:46:40
Punjab College,08:47:20,08:47:40
Dhok Badam,08:48:20,08:48:40
Phulgran,08:49:15,08:49:35
Akbar Niazi Hospital,08:50:10,08:50:30
Traders Colony,08:51:50,08:52:10
Shahpur Link Road,08:54:10,08:54:30
Nai Abadi,08:55:30,08:55:50
Bhera Pull,08:58:00,08:58:20
Barakahu Bazar,09:00:30,09:00:50
Athal Chowk,09:03:30,09:03:50
Col. Ammanullah Road,09:05:30,09:05:50
Mangu Town,09:06:40,09:07:00
Barakahu Terminal,09:08:50,09:08:50
Satra Meel,09:00:00,09:00:00
Al Wadi Colony,09:01:20,09:01:40
Punjab College,09:02:20,09:02:40
Dhok Badam,09:03:20,09:03:40
Phulgran,09:04:15,09:04:35
Akbar Niazi Hospital,09:05:10,09:05:30
Traders Colony,09:06:50,09:07:10
Shahpur Link Road,09:09:10,09:09:30
Nai Abadi,09:10:30,09:10:50
Bhera Pull,09:13:00,09:13:20
Barakahu Bazar,09:15:30,09:15:50
Athal Chowk,09:18:30,09:18:50
Col. Ammanullah Road,09:20:30,09:20:50
Mangu Town,09:21:40,09:22:00
Barakahu Terminal,09:23:50,09:23:50
Satra Meel,09:15:00,09:15:00
Al Wadi Colony,09:16:20,09:16:40
Punjab College,09:17:20,09:17:40
Dhok Badam,09:18:20,09:18:40
Phulgran,09:19:15,09:19:35
Akbar Niazi Hospital,09:20:10,09:20:30
Traders Colony,09:21:50,09:22:10
Shahpur Link Road,09:24:10,09:24:30
Nai Abadi,09:25:30,09:25:50
Bhera Pull,09:28:00,09:28:20
Barakahu Bazar,09:30:30,09:30:50
Athal Chowk,09:33:30,09:33:50
Col. Ammanullah Road,09:35:30,09:35:50
Mangu Town,09:36:40,09:37:00
Barakahu Terminal,09:38:50,09:38:50
Satra Meel,09:30:00,09:30:00
Al Wadi Colony,09:31:20,09:31:40
Punjab College,09:32:20,09:32:40
Dhok Badam,09:33:20,09:33:40
Phulgran,09:34:15,09:34:35
Akbar Niazi Hospital,09:35:10,09:35:30
Traders Colony,09:36:50,09:37:10
Shahpur Link Road,09:39:10,09:39:30
Nai Abadi,09:40:30,09:40:50
Bhera Pull,09:43:00,09:43:20
Barakahu Bazar,09:45:30,09:45:50
Athal Chowk,09:48:30,09:48:50
Col. Ammanullah Road,09:50:30,09:50:50
Mangu Town,09:51:40,09:52:00
Barakahu Terminal,09:53:50,09:53:50
Satra Meel,09:45:00,09:45:00
Al Wadi Colony,09:46:20,09:46:40
Punjab College,09:47:20,09:47:40
Dhok Badam,09:48:20,09:48:40
Phulgran,09:49:15,09:49:35
Akbar Niazi Hospital,09:50:10,09:50:30
Traders Colony,09:51:50,09:52:10
Shahpur Link Road,09:54:10,09:54:30
Nai Abadi,09:55:30,09:55:50
Bhera Pull,09:58:00,09:58:20
Barakahu Bazar,10:00:30,10:00:50
Athal Chowk,10:03:30,10:03:50
Col. Ammanullah Road,10:05:30,10:05:50
Mangu Town,10:06:40,10:07:00
Barakahu Terminal,10:08:50,10:08:50
Satra Meel,10:00:00,10:00:00
Al Wadi Colony,10:01:20,10:01:40
Punjab College,10:02:20,10:02:40
Dhok Badam,10:03:20,10:03:40
Phulgran,10:04:15,10:04:35
Akbar Niazi Hospital,10:05:10,10:05:30
Traders Colony,10:06:50,10:07:10
Shahpur Link Road,10:09:10,10:09:30
Nai Abadi,10:10:30,10:10:50
Bhera Pull,10:13:00,10:13:20
Barakahu Bazar,10:15:30,10:15:50
Athal Chowk,10:18:30,10:18:50
Col. Ammanullah Road,10:20:30,10:20:50
Mangu Town,10:21:40,10:22:00
Barakahu Terminal,10:23:50,10:23:50
Satra Meel,10:15:00,10:15:00
Al Wadi Colony,10:16:20,10:16:40
Punjab College,10:17:20,10:17:40
Dhok Badam,10:18:20,10:18:40
Phulgran,10:19:15,10:19:35
Akbar Niazi Hospital,10:20:10,10:20:30
Traders Colony,10:21:50,10:22:10
Shahpur Link Road,10:24:10,10:24:30
Nai Abadi,10:25:30,10:25:50
Bhera Pull,10:28:00,10:28:20
Barakahu Bazar,10:30:30,10:30:50
Athal Chowk,10:33:30,10:33:50
Col. Ammanullah Road,10:35:30,10:35:50
Mangu Town,10:36:40,10:37:00
Barakahu Terminal,10:38:50,10:38:50
Satra Meel,10:30:00,10:30:00
Al Wadi Colony,10:31:20,10:31:40
Punjab College,10:32:20,10:32:40
Dhok Badam,10:33:20,10:33:40
Phulgran,10:34:15,10:34:35
Akbar Niazi Hospital,10:35:10,10:35:30
Traders Colony,10:36:50,10:37:10
Shahpur Link Road,10:39:10,10:39:30
Nai Abadi,10:40:30,10:40:50
Bhera Pull,10:43:00,10:43:20
Barakahu Bazar,10:45:30,10:45:50
Athal Chowk,10:48:30,10:48:50
Col. Ammanullah Road,10:50:30,10:50:50
Mangu Town,10:51:40,10:52:00
Barakahu Terminal,10:53:50,10:53:50
Satra Meel,10:45:00,10:45:00
Al Wadi Colony,10:46:20,10:46:40
Punjab College,10:47:20,10:47:40
Dhok Badam,10:48:20,10:48:40
Phulgran,10:49:15,10:49:35
Akbar Niazi Hospital,10:50:10,10:50:30
Traders Colony,10:51:50,10:52:10
Shahpur Link Road,10:54:10,10:54:30
Nai Abadi,10:55:30,10:55:50
Bhera Pull,10:58:00,10:58:20
Barakahu Bazar,11:00:30,11:00:50
Athal Chowk,11:03:30,11:03:50
Col. Ammanullah Road,11:05:30,11:05:50
Mangu Town,11:06:40,11:07:00
Barakahu Terminal,11:08:50,11:08:50
Satra Meel,11:00:00,11:00:00
Al Wadi Colony,11:01:20,11:01:40
Punjab College,11:02:20,11:02:40
Dhok Badam,11:03:20,11:03:40
Phulgran,11:04:15,11:04:35
Akbar Niazi Hospital,11:05:10,11:05:30
Traders Colony,11:06:50,11:07:10
Shahpur Link Road,11:09:10,11:09:30
Nai Abadi,11:10:30,11:10:50
Bhera Pull,11:13:00,11:13:20
Barakahu Bazar,11:15:30,11:15:50
Athal Chowk,11:18:30,11:18:50
Col. Ammanullah Road,11:20:30,11:20:50
Mangu Town,11:21:40,11:22:00
Barakahu Terminal,11:23:50,11:23:50
Satra Meel,11:15:00,11:15:00
Al Wadi Colony,11:16:20,11:16:40
Punjab College,11:17:20,11:17:40
Dhok Badam,11:18:20,11:18:40
Phulgran,11:19:15,11:19:35
Akbar Niazi Hospital,11:20:10,11:20:30
Traders Colony,11:21:50,11:22:10
Shahpur Link Road,11:24:10,11:24:30
Nai Abadi,11:25:30,11:25:50
Bhera Pull,11:28:00,11:28:20
Barakahu Bazar,11:30:30,11:30:50
Athal Chowk,11:33:30,11:33:50
Col. Ammanullah Road,11:35:30,11:35:50
Mangu Town,11:36:40,11:37:00
Barakahu Terminal,11:38:50,11:38:50
Satra Meel,11:30:00,11:30:00
Al Wadi Colony,11:31:20,11:31:40
Punjab College,11:32:20,11:32:40
Dhok Badam,11:33:20,11:33:40
Phulgran,11:34:15,11:34:35
Akbar Niazi Hospital,11:35:10,11:35:30
Traders Colony,11:36:50,11:37:10
Shahpur Link Road,11:39:10,11:39:30
Nai Abadi,11:40:30,11:40:50
Bhera Pull,11:43:00,11:43:20
Barakahu Bazar,11:45:30,11:45:50
Athal Chowk,11:48:30,11:48:50
Col. Ammanullah Road,11:50:30,11:50:50
Mangu Town,11:51:40,11:52:00
Barakahu Terminal,11:53:50,11:53:50
Satra Meel,11:45:00,11:45:00
Al Wadi Colony,11:46:20,11:46:40
Punjab College,11:47:20,11:47:40
Dhok Badam,11:48:20,11:48:40
Phulgran,11:49:15,11:49:35
Akbar Niazi Hospital,11:50:10,11:50:30
Traders Colony,11:51:50,11:52:10
Shahpur Link Road,11:54:10,11:54:30
Nai Abadi,11:55:30,11:55:50
Bhera Pull,11:58:00,11:58:20
Barakahu Bazar,12:00:30,12:00:50
Athal Chowk,12:03:30,12:03:50
Col. Ammanullah Road,12:05:30,12:05:50
Mangu Town,12:06:40,12:07:00
Barakahu Terminal,12:08:50,12:08:50
Satra Meel,12:00:00,12:00:00
Al Wadi Colony,12:01:20,12:01:40
Punjab College,12:02:20,12:02:40
Dhok Badam,12:03:20,12:03:40
Phulgran,12:04:15,12:04:35
Akbar Niazi Hospital,12:05:10,12:05:30
Traders Colony,12:06:50,12:07:10
Shahpur Link Road,12:09:10,12:09:30
Nai Abadi,12:10:30,12:10:50
Bhera Pull,12:13:00,12:13:20
Barakahu Bazar,12:15:30,12:15:50
Athal Chowk,12:18:30,12:18:50
Col. Ammanullah Road,12:20:30,12:20:50
Mangu Town,12:21:40,12:22:00
Barakahu Terminal,12:23:50,12:23:50
Satra Meel,12:15:00,12:15:00
Al Wadi Colony,12:16:20,12:16:40
Punjab College,12:17:20,12:17:40
Dhok Badam,12:18:20,12:18:40
Phulgran,12:19:15,12:19:35
Akbar Niazi Hospital,12:20:10,12:20:30
Traders Colony,12:21:50,12:22:10
Shahpur Link Road,12:24:10,12:24:30
Nai Abadi,12:25:30,12:25:50
Bhera Pull,12:28:00,12:28:20
Barakahu Bazar,12:30:30,12:30:50
Athal Chowk,12:33:30,12:33:50
Col. Ammanullah Road,12:35:30,12:35:50
Mangu Town,12:36:40,12:37:00
Barakahu Terminal,12:38:50,12:38:50
Satra Meel,12:30:00,12:30:00
Al Wadi Colony,12:31:20,12:31:40
Punjab College,12:32:20,12:32:40
Dhok Badam,12:33:20,12:33:40
Phulgran,12:34:15,12:34:35
Akbar Niazi Hospital,12:35:10,12:35:30
Traders Colony,12:36:50,12:37:10
Shahpur Link Road,12:39:10,12:39:30
Nai Abadi,12:40:30,12:40:50
Bhera Pull,12:43:00,12:43:20
Barakahu Bazar,12:45:30,12:45:50
Athal Chowk,12:48:30,12:48:50
Col. Ammanullah Road,12:50:30,12:50:50
Mangu Town,12:51:40,12:52:00
Barakahu Terminal,12:53:50,12:53:50
Satra Meel,12:45:00,12:45:00
Al Wadi Colony,12:46:20,12:46:40
Punjab College,12:47:20,12:47:40
Dhok Badam,12:48:20,12:48:40
Phulgran,12:49:15,12:49:35
Akbar Niazi Hospital,12:50:10,12:50:30
Traders Colony,12:51:50,12:52:10
Shahpur Link Road,12:54:10,12:54:30
Nai Abadi,12:55:30,12:55:50
Bhera Pull,12:58:00,12:58:20
Barakahu Bazar,13:00:30,13:00:50
Athal Chowk,13:03:30,13:03:50
Col. Ammanullah Road,13:05:30,13:05:50
Mangu Town,13:06:40,13:07:00
Barakahu Terminal,13:08:50,13:08:50
Satra Meel,13:00:00,13:00:00
Al Wadi Colony,13:01:20,13:01:40
Punjab College,13:02:20,13:02:40
Dhok Badam,13:03:20,13:03:40
Phulgran,13:04:15,13:04:35
Akbar Niazi Hospital,13:05:10,13:05:30
Traders Colony,13:06:50,13:07:10
Shahpur Link Road,13:09:10,13:09:30
Nai Abadi,13:10:30,13:10:50
Bhera Pull,13:13:00,13:13:20
Barakahu Bazar,13:15:30,13:15:50
Athal Chowk,13:18:30,13:18:50
Col. Ammanullah Road,13:20:30,13:20:50
Mangu Town,13:21:40,13:22:00
Barakahu Terminal,13:23:50,13:23:50
Satra Meel,13:15:00,13:15:00
Al Wadi Colony,13:16:20,13:16:40
Punjab College,13:17:20,13:17:40
Dhok Badam,13:18:20,13:18:40
Phulgran,13:19:15,13:19:35
Akbar Niazi Hospital,13:20:10,13:20:30
Traders Colony,13:21:50,13:22:10
Shahpur Link Road,13:24:10,13:24:30
Nai Abadi,13:25:30,13:25:50
Bhera Pull,13:28:00,13:28:20
Barakahu Bazar,13:30:30,13:30:50
Athal Chowk,13:33:30,13:33:50
Col. Ammanullah Road,13:35:30,13:35:50
Mangu Town,13:36:40,13:37:00
Barakahu Terminal,13:38:50,13:38:50
Satra Meel,13:30:00,13:30:00
Al Wadi Colony,13:31:20,13:31:40
Punjab College,13:32:20,13:32:40
Dhok Badam,13:33:20,13:33:40
Phulgran,13:34:15,13:34:35
Akbar Niazi Hospital,13:35:10,13:35:30
Traders Colony,13:36:50,13:37:10
Shahpur Link Road,13:39:10,13:39:30
Nai Abadi,13:40:30,13:40:50
Bhera Pull,13:43:00,13:43:20
Barakahu Bazar,13:45:30,13:45:50
Athal Chowk,13:48:30,13:48:50
Col. Ammanullah Road,13:50:30,13:50:50
Mangu Town,13:51:40,13:52:00
Barakahu Terminal,13:53:50,13:53:50
Satra Meel,13:45:00,13:45:00
Al Wadi Colony,13:46:20,13:46:40
Punjab College,13:47:20,13:47:40
Dhok Badam,13:48:20,13:48:40
Phulgran,13:49:15,13:49:35
Akbar Niazi Hospital,13:50:10,13:50:30
Traders Colony,13:51:50,13:52:10
Shahpur Link Road,13:54:10,13:54:30
Nai Abadi,13:55:30,13:55:50
Bhera Pull,13:58:00,13:58:20
Barakahu Bazar,14:00:30,14:00:50
Athal Chowk,14:03:30,14:03:50
Col. Ammanullah Road,14:05:30,14:05:50
Mangu Town,14:06:40,14:07:00
Barakahu Terminal,14:08:50,14:08:50
Satra Meel,14:00:00,14:00:00
Al Wadi Colony,14:01:20,14:01:40
Punjab College,14:02:20,14:02:40
Dhok Badam,14:03:20,14:03:40
Phulgran,14:04:15,14:04:35
Akbar Niazi Hospital,14:05:10,14:05:30
Traders Colony,14:06:50,14:07:10
Shahpur Link Road,14:09:10,14:09:30
Nai Abadi,14:10:30,14:10:50
Bhera Pull,14:13:00,14:13:20
Barakahu Bazar,14:15:30,14:15:50
Athal Chowk,14:18:30,14:18:50
Col. Ammanullah Road,14:20:30,14:20:50
Mangu Town,14:21:40,14:22:00
Barakahu Terminal,14:23:50,14:23:50
Satra Meel,14:15:00,14:15:00
Al Wadi Colony,14:16:20,14:16:40
Punjab College,14:17:20,14:17:40
Dhok Badam,14:18:20,14:18:40
Phulgran,14:19:15,14:19:35
Akbar Niazi Hospital,14:20:10,14:20:30
Traders Colony,14:21:50,14:22:10
Shahpur Link Road,14:24:10,14:24:30
Nai Abadi,14:25:30,14:25:50
Bhera Pull,14:28:00,14:28:20
Barakahu Bazar,14:30:30,14:30:50
Athal Chowk,14:33:30,14:33:50
Col. Ammanullah Road,14:35:30,14:35:50
Mangu Town,14:36:40,14:37:00
Barakahu Terminal,14:38:50,14:38:50
Satra Meel,14:30:00,14:30:00
Al Wadi Colony,14:31:20,14:31:40
Punjab College,14:32:20,14:32:40
Dhok Badam,14:33:20,14:33:40
Phulgran,14:34:15,14:34:35
Akbar Niazi Hospital,14:35:10,14:35:30
Traders Colony,14:36:50,14:37:10
Shahpur Link Road,14:39:10,14:39:30
Nai Abadi,14:40:30,14:40:50
Bhera Pull,14:43:00,14:43:20
Barakahu Bazar,14:45:30,14:45:50
Athal Chowk,14:48:30,14:48:50
Col. Ammanullah Road,14:50:30,14:50:50
Mangu Town,14:51:40,14:52:00
Barakahu Terminal,14:53:50,14:53:50
Satra Meel,14:45:00,14:45:00
Al Wadi Colony,14:46:20,14:46:40
Punjab College,14:47:20,14:47:40
Dhok Badam,14:48:20,14:48:40
Phulgran,14:49:15,14:49:35
Akbar Niazi Hospital,14:50:10,14:50:30
Traders Colony,14:51:50,14:52:10
Shahpur Link Road,14:54:10,14:54:30
Nai Abadi,14:55:30,14:55:50
Bhera Pull,14:58:00,14:58:20
Barakahu Bazar,15:00:30,15:00:50
Athal Chowk,15:03:30,15:03:50
Col. Ammanullah Road,15:05:30,15:05:50
Mangu Town,15:06:40,15:07:00
Barakahu Terminal,15:08:50,15:08:50
Satra Meel,15:00:00,15:00:00
Al Wadi Colony,15:01:20,15:01:40
Punjab College,15:02:20,15:02:40
Dhok Badam,15:03:20,15:03:40
Phulgran,15:04:15,15:04:35
