StopName,ArrivalTime,DepartureTime
Quaid Azam University,06:15:00,06:15:00
Babul Quaid,06:17:50,06:18:10
C-Type Quaid e Azam Colon),06:19:25,06:19:45
D-Type Quaid e Azam,Colon'06:20:45,06:21:05
Community Health Centre,06:22:10,06:22:30
Muhallah Noori Bagh,06:24:20,06:24:40
Bari Imam,06:26:40,06:26:40
Quaid Azam University,06:45:00,06:45:00
Babul Quaid,06:47:50,06:48:10
C-Type Quaid e Azam,Colon)06:49:25,06:49:45
D-Type Quaid e Azam,Colon'06:50:45,06:51:05
Community Health Centre,06:52:10,06:52:30
Muhallah Noori Bagh,06:54:20,06:54:40
Bari Imam,06:56:40,06:56:40
Quaid Azam University,07:15:00,07:15:00
Babul Quaid,07:17:50,07:18:10
C-Type Quaid e Azam,Colon\07:19:25,07:19:45
D-Type Quaid e Azam,Colon'07:20:45,07:21:05
Community Health Centre,07:22:10,07:22:30
Muhallah Noori Bagh,07:24:20,07:24:40
Bari Imam,07:26:40,07:26:40
Quaid Azam University,07:45:00,07:45:00
Babul Quaid,07:47:50,07:48:10
C-Type Quaid e Azam,Colon)07:49:25,07:49:45
D-Type Quaid e Azam,Colon'07:50:45,07:51:05
Community Health Centre,07:52:10,07:52:30
Muhallah Noori Bagh,07:54:20,07:54:40
Bari Imam,07:56:40,07:56:40
Quaid Azam University,08:15:00,08:15:00
Babul Quaid,08:17:50,08:18:10
C-Type Quaid e Azam,Colon)08:19:25,08:19:45
D-Type Quaid e Azam,Colon'08:20:45,08:21:05
Community Health Centre,08:22:10,08:22:30
Muhallah Noori Bagh,08:24:20,08:24:40
Bari Imam,08:26:40,08:26:40
Quaid Azam University,08:45:00,08:45:00
Babul Quaid,08:47:50,08:48:10
C-Type Quaid e Azam Colon),08:49:25,08:49:45
D-Type Quaid e Azam,Colon'08:50:45,08:51:05
Community Health Centre,08:52:10,08:52:30
Muhallah Noori Bagh,08:54:20,08:54:40
Bari Imam,08:56:40,08:56:40
Quaid Azam University,09:15:00,09:15:00
Babul Quaid,09:17:50,09:18:10
C-Type Quaid e Azam,Colon)09:19:25,09:19:45
D-Type Quaid e Azam,Colon'09:20:45,09:21:05
Community Health Centre,09:22:10,09:22:30
Muhallah Noori Bagh,09:24:20,09:24:40
Bari Imam,09:26:40,09:26:40
Quaid Azam University,09:45:00,09:45:00
Babul Quaid,09:47:50,09:48:10
C-Type Quaid e Azam,Colon)09:49:25,09:49:45
D-Type Quaid e Azam,Colon'09:50:45,09:51:05
Community Health Centre,09:52:10,09:52:30
Muhallah Noori Bagh,09:54:20,09:54:40
Bari Imam,09:56:40,09:56:40
Quaid Azam University,10:15:00,10:15:00
Babul Quaid,10:17:50,10:18:10
C-Type Quaid e Azam Colony,10:19:25,10:19:45
D-Type Quaid e Azam Colon:,10:20:45,10:21:05
Community Health Centre,10:22:10,10:22:30
Muhallah Noori Bagh,10:24:20,10:24:40
Bari Imam,10:26:40,10:26:40
Quaid Azam University,10:45:00,10:45:00
Babul Quaid,10:47:50,10:48:10
C-Type Quaid e Azam Colony,10:49:25,10:49:45
D-Type Quaid e Azam Colon:,10:50:45,10:51:05
Community Health Centre,10:52:10,10:52:30
Muhallah Noori Bagh,10:54:20,10:54:40
Bari Imam,10:56:40,10:56:40
Quaid Azam University,11:15:00,11:15:00
Babul Quaid,11:17:50,11:18:10
C-Type Quaid e Azam Colony,11:19:25,11:19:45
D-Type Quaid e Azam Colon:,11:20:45,11:21:05
Community Health Centre,11:22:10,11:22:30
Muhallah Noori Bagh,11:24:20,11:24:40
Bari Imam,11:26:40,11:26:40
Quaid Azam University,11:45:00,11:45:00
Babul Quaid,11:47:50,11:48:10
C-Type Quaid e Azam Colony,11:49:25,11:49:45
D-Type Quaid e Azam Colon:,11:50:45,11:51:05
Community Health Centre,11:52:10,11:52:30
Muhallah Noori Bagh,11:54:20,11:54:40
Bari Imam,11:56:40,11:56:40
Quaid Azam University,12:15:00,12:15:00
Babul Quaid,12:17:50,12:18:10
C-Type Quaid e Azam Colony,12:19:25,12:19:45
D-Type Quaid e Azam Colon:,12:20:45,12:21:05
