StopName,ArrivalTime,DepartureTime
Capt. Naeem Tufail Shaheed Chow,07:00:00,07:00:00
Tamma Stop,07:01:30,07:01:50
COMSATS University,07:03:40,07:04:00
Hostel City,07:05:40,07:06:00
Gulshan Al Huda Community,07:06:50,07:07:10
Chatta Bakhtawar,07:10:15,07:10:35
Green Avenue,07:12:35,07:12:55
Park View City,07:14:25,07:14:45
Shahzad Town,07:16:35,07:16:55
NIH Allergy Center,07:18:30,07:18:50
NARC Colony,07:21:00,07:21:20
Rawal Dam Colony,07:22:20,07:22:40
School Board Stop,07:23:35,07:23:55
Rawal Town,07:25:35,07:25:55
Rawal Dam Chowk,07:28:40,07:29:00
Kashmir Chowk,07:31:30,07:31:50
Foreign Affairs Office,07:34:30,07:34:50
Abpara,07:37:00,07:37:20
CDA,07:39:10,07:39:30
Zero Point,07:42:00,07:42:20
TNT,07:43:30,07:43:50
Children Hospital,07:45:00,07:45:20
PIMS Hospital,07:46:00,07:46:00
Capt. Naeem Tufail Shaheed Chow,07:20:00,07:20:00
Tamma Stop,07:21:30,07:21:50
COMSATS University,07:23:40,07:24:00
Hostel City,07:25:40,07:26:00
Gulshan Al Huda Community,07:26:50,07:27:10
Chatta Bakhtawar,07:30:15,07:30:35
Green Avenue,07:32:35,07:32:55
Park View City,07:34:25,07:34:45
Shahzad Town,07:36:35,07:36:55
NIH Allergy Center,07:38:30,07:38:50
NARC Colony,07:41:00,07:41:20
Rawal Dam Colony,07:42:20,07:42:40
School Board Stop,07:43:35,07:43:55
Rawal Town,07:45:35,07:45:55
Rawal Dam Chowk,07:48:40,07:49:00
Kashmir Chowk,07:51:30,07:51:50
Foreign Affairs Office,07:54:30,07:54:50
Abpara,07:57:00,07:57:20
CDA,07:59:10,07:59:30
Zero Point,08:02:00,08:02:20
TNT,08:03:30,08:03:50
Children Hospital,08:05:00,08:05:20
PIMS Hospital,08:06:00,08:06:00
Capt. Naeem Tufail Shaheed Chow,07:40:00,07:40:00
Tamma Stop,07:41:30,07:41:50
COMSATS University,07:43:40,07:44:00
Hostel City,07:45:40,07:46:00
Gulshan Al Huda Community,07:46:50,07:47:10
Chatta Bakhtawar,07:50:15,07:50:35
Green Avenue,07:52:35,07:52:55
Park View City,07:54:25,07:54:45
Shahzad Town,07:56:35,07:56:55
NIH Allergy Center,07:58:30,07:58:50
NARC Colony,08:01:00,08:01:20
Rawal Dam Colony,08:02:20,08:02:40
School Board Stop,08:03:35,08:03:55
Rawal Town,08:05:35,08:05:55
Rawal Dam Chowk,08:08:40,08:09:00
Kashmir Chowk,08:11:30,08:11:50
Foreign Affairs Office,08:14:30,08:14:50
Abpara,08:17:00,08:17:20
CDA,08:19:10,08:19:30
Zero Point,08:22:00,08:22:20
TNT,08:23:30,08:23:50
Children Hospital,08:25:00,08:25:20
PIMS Hospital,08:26:00,08:26:00
Capt. Naeem Tufail Shaheed Chow,08:00:00,08:00:00
Tamma Stop,08:01:30,08:01:50
COMSATS University,08:03:40,08:04:00
Hostel City,08:05:40,08:06:00
Gulshan Al Huda Community,08:06:50,08:07:10
Chatta Bakhtawar,08:10:15,08:10:35
Green Avenue,08:12:35,08:12:55
Park View City,08:14:25,08:14:45
Shahzad Town,08:16:35,08:16:55
NIH Allergy Center,08:18:30,08:18:50
NARC Colony,08:21:00,08:21:20
Rawal Dam Colony,08:22:20,08:22:40
School Board Stop,08:23:35,08:23:55
Rawal Town,08:25:35,08:25:55
Rawal Dam Chowk,08:28:40,08:29:00
Kashmir Chowk,08:31:30,08:31:50
Foreign Affairs Office,08:34:30,08:34:50
Abpara,08:37:00,08:37:20
CDA,08:39:10,08:39:30
Zero Point,08:42:00,08:42:20
TNT,08:43:30,08:43:50
Children Hospital,08:45:00,08:45:20
PIMS Hospital,08:46:00,08:46:00
Capt. Naeem Tufail Shaheed Chow,08:20:00,08:20:00
Tamma Stop,08:21:30,08:21:50
COMSATS University,08:23:40,08:24:00
Hostel City,08:25:40,08:26:00
Gulshan Al Huda Community,08:26:50,08:27:10
Chatta Bakhtawar,08:30:15,08:30:35
Green Avenue,08:32:35,08:32:55
Park View City,08:34:25,08:34:45
Shahzad Town,08:36:35,08:36:55
NIH Allergy Center,08:38:30,08:38:50
NARC Colony,08:41:00,08:41:20
Rawal Dam Colony,08:42:20,08:42:40
School Board Stop,08:43:35,08:43:55
Rawal Town,08:45:35,08:45:55
Rawal Dam Chowk,08:48:40,08:49:00
Kashmir Chowk,08:51:30,08:51:50
Foreign Affairs Office,08:54:30,08:54:50
Abpara,08:57:00,08:57:20
CDA,08:59:10,08:59:30
Zero Point,09:02:00,09:02:20
TNT,09:03:30,09:03:50
Children Hospital,09:05:00,09:05:20
PIMS Hospital,09:06:00,09:06:00
Capt. Naeem Tufail Shaheed Chow,08:40:00,08:40:00
Tamma Stop,08:41:30,08:41:50
COMSATS University,08:43:40,08:44:00
Hostel City,08:45:40,08:46:00
Gulshan Al Huda Community,08:46:50,08:47:10
Chatta Bakhtawar,08:50:15,08:50:35
Green Avenue,08:52:35,08:52:55
Park View City,08:54:25,08:54:45
Shahzad Town,08:56:35,08:56:55
NIH Allergy Center,08:58:30,08:58:50
NARC Colony,09:01:00,09:01:20
Rawal Dam Colony,09:02:20,09:02:40
School Board Stop,09:03:35,09:03:55
Rawal Town,09:05:35,09:05:55
Rawal Dam Chowk,09:08:40,09:09:00
Kashmir Chowk,09:11:30,09:11:50
Foreign Affairs Office,09:14:30,09:14:50
Abpara,09:17:00,09:17:20
CDA,09:19:10,09:19:30
Zero Point,09:22:00,09:22:20
TNT,09:23:30,09:23:50
Children Hospital,09:25:00,09:25:20
PIMS Hospital,09:26:00,09:26:00
Capt. Naeem Tufail Shaheed Chow,09:00:00,09:00:00
Tamma Stop,09:01:30,09:01:50
COMSATS University,09:03:40,09:04:00
Hostel City,09:05:40,09:06:00
Gulshan Al Huda Community,09:06:50,09:07:10
Chatta Bakhtawar,09:10:15,09:10:35
Green Avenue,09:12:35,09:12:55
Park View City,09:14:25,09:14:45
Shahzad Town,09:16:35,09:16:55
NIH Allergy Center,09:18:30,09:18:50
NARC Colony,09:21:00,09:21:20
Rawal Dam Colony,09:22:20,09:22:40
School Board Stop,09:23:35,09:23:55
Rawal Town,09:25:35,09:25:55
Rawal Dam Chowk,09:28:40,09:29:00
Kashmir Chowk,09:31:30,09:31:50
Foreign Affairs Office,09:34:30,09:34:50
Abpara,09:37:00,09:37:20
CDA,09:39:10,09:39:30
Zero Point,09:42:00,09:42:20
TNT,09:43:30,09:43:50
Children Hospital,09:45:00,09:45:20
PIMS Hospital,09:46:00,09:46:00
Capt. Naeem Tufail Shaheed Chow,09:20:00,09:20:00
Tamma Stop,09:21:30,09:21:50
COMSATS University,09:23:40,09:24:00
Hostel City,09:25:40,09:26:00
Gulshan Al Huda Community,09:26:50,09:27:10
Chatta Bakhtawar,09:30:15,09:30:35
Green Avenue,09:32:35,09:32:55
Park View City,09:34:25,09:34:45
Shahzad Town,09:36:35,09:36:55
NIH Allergy Center,09:38:30,09:38:50
NARC Colony,09:41:00,09:41:20
Rawal Dam Colony,09:42:20,09:42:40
School Board Stop,09:43:35,09:43:55
Rawal Town,09:45:35,09:45:55
Rawal Dam Chowk,09:48:40,09:49:00
Kashmir Chowk,09:51:30,09:51:50
Foreign Affairs Office,09:54:30,09:54:50
Abpara,09:57:00,09:57:20
CDA,09:59:10,09:59:30
Zero Point,10:02:00,10:02:20
TNT,10:03:30,10:03:50
Children Hospital,10:05:00,10:05:20
PIMS Hospital,10:06:00,10:06:00
Capt. Naeem Tufail Shaheed Chow,09:40:00,09:40:00
Tamma Stop,09:41:30,09:41:50
COMSATS University,09:43:40,09:44:00
Hostel City,09:45:40,09:46:00
Gulshan Al Huda Community,09:46:50,09:47:10
Chatta Bakhtawar,09:50:15,09:50:35
Green Avenue,09:52:35,09:52:55
Park View City,09:54:25,09:54:45
Shahzad Town,09:56:35,09:56:55
NIH Allergy Center,09:58:30,09:58:50
NARC Colony,10:01:00,10:01:20
Rawal Dam Colony,10:02:20,10:02:40
School Board Stop,10:03:35,10:03:55
Rawal Town,10:05:35,10:05:55
Rawal Dam Chowk,10:08:40,10:09:00
Kashmir Chowk,10:11:30,10:11:50
Foreign Affairs Office,10:14:30,10:14:50
Abpara,10:17:00,10:17:20
CDA,10:19:10,10:19:30
Zero Point,10:22:00,10:22:20
TNT,10:23:30,10:23:50
Children Hospital,10:25:00,10:25:20
PIMS Hospital,10:26:00,10:26:00
Capt. Naeem Tufail Shaheed Chow,10:00:00,10:00:00
Tamma Stop,10:01:30,10:01:50
COMSATS University,10:03:40,10:04:00
Hostel City,10:05:40,10:06:00
Gulshan Al Huda Community,10:06:50,10:07:10
Chatta Bakhtawar,10:10:15,10:10:35
Green Avenue,10:12:35,10:12:55
Park View City,10:14:25,10:14:45
Shahzad Town,10:16:35,10:16:55
NIH Allergy Center,10:18:30,10:18:50
NARC Colony,10:21:00,10:21:20
Rawal Dam Colony,10:22:20,10:22:40
School Board Stop,10:23:35,10:23:55
Rawal Town,10:25:35,10:25:55
Rawal Dam Chowk,10:28:40,10:29:00
Kashmir Chowk,10:31:30,10:31:50
Foreign Affairs Office,10:34:30,10:34:50
Abpara,10:37:00,10:37:20
CDA,10:39:10,10:39:30
Zero Point,10:42:00,10:42:20
TNT,10:43:30,10:43:50
Children Hospital,10:45:00,10:45:20
PIMS Hospital,10:46:00,10:46:00
Capt. Naeem Tufail Shaheed Chow,10:20:00,10:20:00
Tamma Stop,10:21:30,10:21:50
COMSATS University,10:23:40,10:24:00
Hostel City,10:25:40,10:26:00
Gulshan Al Huda Community,10:26:50,10:27:10
Chatta Bakhtawar,10:30:15,10:30:35
Green Avenue,10:32:35,10:32:55
Park View City,10:34:25,10:34:45
Shahzad Town,10:36:35,10:36:55
NIH Allergy Center,10:38:30,10:38:50
NARC Colony,10:41:00,10:41:20
Rawal Dam Colony,10:42:20,10:42:40
School Board Stop,10:43:35,10:43:55
Rawal Town,10:45:35,10:45:55
Rawal Dam Chowk,10:48:40,10:49:00
Kashmir Chowk,10:51:30,10:51:50
Foreign Affairs Office,10:54:30,10:54:50
Abpara,10:57:00,10:57:20
CDA,10:59:10,10:59:30
Zero Point,11:02:00,11:02:20
TNT,11:03:30,11:03:50
Children Hospital,11:05:00,11:05:20
PIMS Hospital,11:06:00,11:06:00
Capt. Naeem Tufail Shaheed Chow,10:40:00,10:40:00
Tamma Stop,10:41:30,10:41:50
COMSATS University,10:43:40,10:44:00
Hostel City,10:45:40,10:46:00
Gulshan Al Huda Community,10:46:50,10:47:10
Chatta Bakhtawar,10:50:15,10:50:35
Green Avenue,10:52:35,10:52:55
Park View City,10:54:25,10:54:45
Shahzad Town,10:56:35,10:56:55
NIH Allergy Center,10:58:30,10:58:50
NARC Colony,11:01:00,11:01:20
Rawal Dam Colony,11:02:20,11:02:40
School Board Stop,11:03:35,11:03:55
Rawal Town,11:05:35,11:05:55
Rawal Dam Chowk,11:08:40,11:09:00
Kashmir Chowk,11:11:30,11:11:50
Foreign Affairs Office,11:14:30,11:14:50
Abpara,11:17:00,11:17:20
CDA,11:19:10,11:19:30
Zero Point,11:22:00,11:22:20
TNT,11:23:30,11:23:50
Children Hospital,11:25:00,11:25:20
PIMS Hospital,11:26:00,11:26:00
Capt. Naeem Tufail Shaheed Chow,11:00:00,11:00:00
Tamma Stop,11:01:30,11:01:50
COMSATS University,11:03:40,11:04:00
Hostel City,11:05:40,11:06:00
Gulshan Al Huda Community,11:06:50,11:07:10
Chatta Bakhtawar,11:10:15,11:10:35
Green Avenue,11:12:35,11:12:55
Park View City,11:14:25,11:14:45
Shahzad Town,11:16:35,11:16:55
NIH Allergy Center,11:18:30,11:18:50
NARC Colony,11:21:00,11:21:20
Rawal Dam Colony,11:22:20,11:22:40
School Board Stop,11:23:35,11:23:55
Rawal Town,11:25:35,11:25:55
Rawal Dam Chowk,11:28:40,11:29:00
Kashmir Chowk,11:31:30,11:31:50
Foreign Affairs Office,11:34:30,11:34:50
Abpara,11:37:00,11:37:20
CDA,11:39:10,11:39:30
Zero Point,11:42:00,11:42:20
TNT,11:43:30,11:43:50
Children Hospital,11:45:00,11:45:20
PIMS Hospital,11:46:00,11:46:00
Capt. Naeem Tufail Shaheed Chow,11:20:00,11:20:00
Tamma Stop,11:21:30,11:21:50
