StopName,ArrivalTime,DepartureTime
Mandi Morh,07:00:00,07:00:00
Pully Stop,07:01:30,07:01:50
CDA Stop,07:03:12,07:03:32
Katarian Chungi,07:04:56,07:05:16
Katarian Chungi,07:06:36,07:06:56
Pindora,07:08:36,07:08:56
JP Metro Station,07:11:36,07:11:56
Faizabad Metro Station,07:15:46,07:16:06
ITP Driving Licence Centre,07:19:26,07:19:46
Margalla Town,07:22:26,07:22:46
Garden Avenue,07:24:26,07:24:46
Rawal Dam Chowk,07:27:06,07:27:26
Kashmir Chowk,07:30:21,07:30:41
Dhokri Chowk,07:32:40,07:33:00
Lake view Park,07:36:50,07:37:10
Malpur,07:39:20,07:39:40
Shahdara,07:42:40,07:43:00
Barahkahu,07:44:40,07:44:40
Mandi Morh,07:15:00,07:15:00
Pully Stop,07:16:30,07:16:50
CDA Stop,07:18:12,07:18:32
Katarian Chungi,07:19:56,07:20:16
Katarian Chungi,07:21:36,07:21:56
Pindora,07:23:36,07:23:56
JP Metro Station,07:26:36,07:26:56
Faizabad Metro Station,07:30:46,07:31:06
ITP Driving Licence Centre,07:34:26,07:34:46
Margalla Town,07:37:26,07:37:46
Garden Avenue,07:39:26,07:39:46
Rawal Dam Chowk,07:42:06,07:42:26
Kashmir Chowk,07:45:21,07:45:41
Dhokri Chowk,07:47:40,07:48:00
Lake view Park,07:51:50,07:52:10
Malpur,07:54:20,07:54:40
Shahdara,07:57:40,07:58:00
Barahkahu,07:59:40,07:59:40
Mandi Morh,07:30:00,07:30:00
Pully Stop,07:31:30,07:31:50
CDA Stop,07:33:12,07:33:32
Katarian Chungi,07:34:56,07:35:16
Katarian Chungi,07:36:36,07:36:56
Pindora,07:38:36,07:38:56
JP Metro Station,07:41:36,07:41:56
Faizabad Metro Station,07:45:46,07:46:06
ITP Driving Licence Centre,07:49:26,07:49:46
Margalla Town,07:52:26,07:52:46
Garden Avenue,07:54:26,07:54:46
Rawal Dam Chowk,07:57:06,07:57:26
Kashmir Chowk,08:00:21,08:00:41
Dhokri Chowk,08:02:40,08:03:00
Lake view Park,08:06:50,08:07:10
Malpur,08:09:20,08:09:40
Shahdara,08:12:40,08:13:00
Barahkahu,08:14:40,08:14:40
Mandi Morh,07:45:00,07:45:00
Pully Stop,07:46:30,07:46:50
CDA Stop,07:48:12,07:48:32
Katarian Chungi,07:49:56,07:50:16
Katarian Chungi,07:51:36,07:51:56
Pindora,07:53:36,07:53:56
JP Metro Station,07:56:36,07:56:56
Faizabad Metro Station,08:00:46,08:01:06
ITP Driving Licence Centre,08:04:26,08:04:46
Margalla Town,08:07:26,08:07:46
Garden Avenue,08:09:26,08:09:46
Rawal Dam Chowk,08:12:06,08:12:26
Kashmir Chowk,08:15:21,08:15:41
Dhokri Chowk,08:17:40,08:18:00
Lake view Park,08:21:50,08:22:10
Malpur,08:24:20,08:24:40
Shahdara,08:27:40,08:28:00
Barahkahu,08:29:40,08:29:40
Mandi Morh,08:00:00,08:00:00
Pully Stop,08:01:30,08:01:50
CDA Stop,08:03:12,08:03:32
Katarian Chungi,08:04:56,08:05:16
Katarian Chungi,08:06:36,08:06:56
Pindora,08:08:36,08:08:56
JP Metro Station,08:11:36,08:11:56
Faizabad Metro Station,08:15:46,08:16:06
ITP Driving Licence Centre,08:19:26,08:19:46
Margalla Town,08:22:26,08:22:46
Garden Avenue,08:24:26,08:24:46
Rawal Dam Chowk,08:27:06,08:27:26
Kashmir Chowk,08:30:21,08:30:41
Dhokri Chowk,08:32:40,08:33:00
Lake view Park,08:36:50,08:37:10
Malpur,08:39:20,08:39:40
Shahdara,08:42:40,08:43:00
Barahkahu,08:44:40,08:44:40
Mandi Morh,08:15:00,08:15:00
Pully Stop,08:16:30,08:16:50
CDA Stop,08:18:12,08:18:32
Katarian Chungi,08:19:56,08:20:16
Katarian Chungi,08:21:36,08:21:56
Pindora,08:23:36,08:23:56
JP Metro Station,08:26:36,08:26:56
Faizabad Metro Station,08:30:46,08:31:06
ITP Driving Licence Centre,08:34:26,08:34:46
Margalla Town,08:37:26,08:37:46
Garden Avenue,08:39:26,08:39:46
Rawal Dam Chowk,08:42:06,08:42:26
