StopName,ArrivalTime,DepartureTime
Rafiullah Shaheed Chowk,07:00:00,07:00:00
|-14/1 Park,07:01:10,07:01:30
1-14 Markaz,07:02:50,07:03:10
RIPHAH International University,07:04:25,07:04:45
IMCG 1-14/3,07:06:25,07:06:45
Golra Morh,07:08:45,07:09:05
NUST EME College,07:11:15,07:11:35
Motorway Chowk,07:14:05,07:14:25
N5 Metro Station,07:17:05,07:17:25
Golra Morh Metro Station,07:20:00,07:20:00
Rafiullah Shaheed Chowk,08:00:00,08:00:00
|-14/1 Park,08:01:10,08:01:30
1-14 Markaz,08:02:50,08:03:10
RIPHAH International University,08:04:25,08:04:45
IMCG 1-14/3,08:06:25,08:06:45
Golra Morh,08:08:45,08:09:05
NUST EME College,08:11:15,08:11:35
Motorway Chowk,08:14:05,08:14:25
N5 Metro Station,08:17:05,08:17:25
Golra Morh Metro Station,08:20:00,08:20:00
Rafiullah Shaheed Chowk,09:00:00,09:00:00
|-14/1 Park,09:01:10,09:01:30
1-14 Markaz,09:02:50,09:03:10
RIPHAH International University,09:04:25,09:04:45
IMCG 1-14/3,09:06:25,09:06:45
Golra Morh,09:08:45,09:09:05
NUST EME College,09:11:15,09:11:35
Motorway Chowk,09:14:05,09:14:25
N5 Metro Station,09:17:05,09:17:25
Golra Morh Metro Station,09:20:00,09:20:00
Rafiullah Shaheed Chowk,10:00:00,10:00:00
|-14/1 Park,10:01:10,10:01:30
1-14 Markaz,10:02:50,10:03:10
RIPHAH International University,10:04:25,10:04:45
IMCG 1-14/3,10:06:25,10:06:45
Golra Morh,10:08:45,10:09:05
NUST EME College,10:11:15,10:11:35
Motorway Chowk,10:14:05,10:14:25
N5 Metro Station,10:17:05,10:17:25
Golra Morh Metro Station,10:20:00,10:20:00
Rafiullah Shaheed Chowk,11:00:00,11:00:00
|-14/1 Park,11:01:10,11:01:30
1-14 Markaz,11:02:50,11:03:10
RIPHAH International University,11:04:25,11:04:45
IMCG 1-14/3,11:06:25,11:06:45
Golra Morh,11:08:45,11:09:05
NUST EME College,11:11:15,11:11:35
Motorway Chowk,11:14:05,11:14:25
N5 Metro Station,11:17:05,11:17:25
Golra Morh Metro Station,11:20:00,11:20:00
Rafiullah Shaheed Chowk,12:00:00,12:00:00
|-14/1 Park,12:01:10,12:01:30
1-14 Markaz,12:02:50,12:03:10
RIPHAH International University,12:04:25,12:04:45
IMCG 1-14/3,12:06:25,12:06:45
Golra Morh,12:08:45,12:09:05
NUST EME College,12:11:15,12:11:35
Motorway Chowk,12:14:05,12:14:25
N5 Metro Station,12:17:05,12:17:25
Golra Morh Metro Station,12:20:00,12:20:00
Rafiullah Shaheed Chowk,13:00:00,13:00:00
|-14/1 Park,13:01:10,13:01:30
1-14 Markaz,13:02:50,13:03:10
RIPHAH International University,13:04:25,13:04:45
IMCG 1-14/3,13:06:25,13:06:45
Golra Morh,13:08:45,13:09:05
NUST EME College,13:11:15,13:11:35
Motorway Chowk,13:14:05,13:14:25
N5 Metro Station,13:17:05,13:17:25
Golra Morh Metro Station,13:20:00,13:20:00
Rafiullah Shaheed Chowk,14:00:00,14:00:00
|-14/1 Park,14:01:10,14:01:30
1-14 Markaz,14:02:50,14:03:10
RIPHAH International University,14:04:25,14:04:45
IMCG 1-14/3,14:06:25,14:06:45
Golra Morh,14:08:45,14:09:05
NUST EME College,14:11:15,14:11:35
Motorway Chowk,14:14:05,14:14:25
N5 Metro Station,14:17:05,14:17:25
Golra Morh Metro Station,14:20:00,14:20:00
Rafiullah Shaheed Chowk,15:00:00,15:00:00
|-14/1 Park,15:01:10,15:01:30
1-14 Markaz,15:02:50,15:03:10
RIPHAH International University,15:04:25,15:04:45
IMCG 1-14/3,15:06:25,15:06:45
Golra Morh,15:08:45,15:09:05
NUST EME College,15:11:15,15:11:35
Motorway Chowk,15:14:05,15:14:25
N5 Metro Station,15:17:05,15:17:25
Golra Morh Metro Station,15:20:00,15:20:00
Rafiullah Shaheed Chowk,16:00:00,16:00:00
|-14/1 Park,16:01:10,16:01:30
1-14 Markaz,16:02:50,16:03:10
RIPHAH International University,16:04:25,16:04:45
IMCG 1-14/3,16:06:25,16:06:45
Golra Morh,16:08:45,16:09:05
NUST EME College,16:11:15,16:11:35
Motorway Chowk,16:14:05,16:14:25
N5 Metro Station,16:17:05,16:17:25
Golra Morh Metro Station,16:20:00,16:20:00
Rafiullah Shaheed Chowk,17:00:00,17:00:00
|-14/1 Park,17:01:10,17:01:30
1-14 Markaz,17:02:50,17:03:10
RIPHAH International University,17:04:25,17:04:45
IMCG 1-14/3,17:06:25,17:06:45
Golra Morh,17:08:45,17:09:05
NUST EME College,17:11:15,17:11:35
Motorway Chowk,17:14:05,17:14:25
N5 Metro Station,17:17:05,17:17:25
Golra Morh Metro Station,17:20:00,17:20:00
Rafiullah Shaheed Chowk,18:00:00,18:00:00
|-14/1 Park,18:01:10,18:01:30
1-14 Markaz,18:02:50,18:03:10
RIPHAH International University,18:04:25,18:04:45
IMCG 1-14/3,18:06:25,18:06:45
Golra Morh,18:08:45,18:09:05
NUST EME College,18:11:15,18:11:35
Motorway Chowk,18:14:05,18:14:25
N5 Metro Station,18:17:05,18:17:25
Golra Morh Metro Station,18:20:00,18:20:00
Rafiullah Shaheed Chowk,19:00:00,19:00:00
|-14/1 Park,19:01:10,19:01:30
1-14 Markaz,19:02:50,19:03:10
RIPHAH International University,19:04:25,19:04:45
IMCG 1-14/3,19:06:25,19:06:45
Golra Morh,19:08:45,19:09:05
NUST EME College,19:11:15,19:11:35
Motorway Chowk,19:14:05,19:14:25
N5 Metro Station,19:17:05,19:17:25
Golra Morh Metro Station,19:20:00,19:20:00
Rafiullah Shaheed Chowk,20:00:00,20:00:00
|-14/1 Park,20:01:10,20:01:30
1-14 Markaz,20:02:50,20:03:10
RIPHAH International University,20:04:25,20:04:45
IMCG 1-14/3,20:06:25,20:06:45
Golra Morh,20:08:45,20:09:05
NUST EME College,20:11:15,20:11:35
Motorway Chowk,20:14:05,20:14:25
N5 Metro Station,20:17:05,20:17:25
Golra Morh Metro Station,20:20:00,20:20:00
Rafiullah Shaheed Chowk,21:00:00,21:00:00
|-14/1 Park,21:01:10,21:01:30
1-14 Markaz,21:02:50,21:03:10
RIPHAH International University,21:04:25,21:04:45
IMCG 1-14/3,21:06:25,21:06:45
Golra Morh,21:08:45,21:09:05
NUST EME College,21:11:15,21:11:35
Motorway Chowk,21:14:05,21:14:25
N5 Metro Station,21:17:05,21:17:25
Golra Morh Metro Station,21:20:00,21:20:00
Rafiullah Shaheed Chowk,22:00:00,22:00:00
|-14/1 Park,22:01:10,22:01:30
1-14 Markaz,22:02:50,22:03:10
