StopName,ArrivalTime,DepartureTime
Taxila,07:45:00,07:45:00
Timber Market,07:47:20,07:47:40
Wahdat Colony,07:49:10,07:49:30
Taxila Bypass,07:52:40,07:53:00
Margalla,07:55:20,07:55:40
B-17 Gate no. 2,07:58:15,07:58:35
B-17 Gate no. 1,08:00:35,08:00:55
Sangjani,08:03:55,08:04:15
Shah Allah Ditta,08:15:35,08:15:55
D-12 Markaz,08:22:15,08:22:55
IESCO D-12,08:24:40,08:25:00
D-12 Service Road,08:26:55,08:27:15
Islamabad International Hospital,08:29:05,08:29:25
Multy Stop,08:33:05,08:33:25
NPF Housing Society,08:35:05,08:35:25
Golra Sharif F-11/3,08:42:15,08:42:35
OPF Girls College,08:44:15,08:44:35
F-11 Markaz,08:46:45,08:47:05
Federal Government College,08:49:55,08:50:15
Hammad Uddin Road,08:52:25,08:52:45
G-11 Markaz,08:54:35,08:54:55
A.K Bari Road,08:57:35,08:57:55
NUST Metro Station,08:59:45,09:00:05
G-13 Metro Station,09:02:15,09:02:35
Golra Morh Metro Station,09:04:55,09:04:55
Taxila,08:45:00,08:45:00
Timber Market,08:47:20,08:47:40
Wahdat Colony,08:49:10,08:49:30
Taxila Bypass,08:52:40,08:53:00
Margalla,08:55:20,08:55:40
B-17 Gate no. 2,08:58:15,08:58:35
B-17 Gate no. 1,09:00:35,09:00:55
Sangjani,09:03:55,09:04:15
Shah Allah Ditta,09:15:35,09:15:55
D-12 Markaz,09:22:15,09:22:55
IESCO D-12,09:24:40,09:25:00
D-12 Service Road,09:26:55,09:27:15
Islamabad International Hospital,09:29:05,09:29:25
Multy Stop,09:33:05,09:33:25
NPF Housing Society,09:35:05,09:35:25
Golra Sharif F-11/3,09:42:15,09:42:35
OPF Girls College,09:44:15,09:44:35
F-11 Markaz,09:46:45,09:47:05
Federal Government College,09:49:55,09:50:15
Hammad Uddin Road,09:52:25,09:52:45
G-11 Markaz,09:54:35,09:54:55
A.K Bari Road,09:57:35,09:57:55
NUST Metro Station,09:59:45,10:00:05
G-13 Metro Station,10:02:15,10:02:35
Golra Morh Metro Station,10:04:55,10:04:55
Taxila,09:45:00,09:45:00
Timber Market,09:47:20,09:47:40
Wahdat Colony,09:49:10,09:49:30
Taxila Bypass,09:52:40,09:53:00
Margalla,09:55:20,09:55:40
B-17 Gate no. 2,09:58:15,09:58:35
B-17 Gate no. 1,10:00:35,10:00:55
Sangjani,10:03:55,10:04:15
