StopName,ArrivalTime,DepartureTime
Tipu Sultan Shaheed Chowk,08:00:00,08:00:00
Hassan Abdal,08:01:20,08:01:40
WAPDA Colony,08:03:10,08:03:30
Dhok Dhollian,08:04:50,08:05:10
Askari Cement Factory Roac,08:06:30,08:06:50
Wah Gardens,08:08:45,08:09:05
Shah Wali Colony Road,08:10:10,08:10:30
Ahmad Nagar,08:11:20,08:11:40
Wah Cantt Barrier 03,08:12:30,08:12:50
Sabri Gali,08:13:30,08:13:50
Basti,08:15:20,08:15:40
Malakand Stop,08:16:50,08:17:10
Swedish College,08:18:40,08:19:00
Wah Model Town Phase 02,08:19:55,08:20:15
Wah Model Town Phase 01,08:21:55,08:22:15
Bahtar Morh,08:23:05,08:23:25
New City Phase 02,08:25:20,08:25:40
Losar Sharfoo,08:27:35,08:27:55
New City Phase 01,08:29:15,08:29:35
Jinnah Colony,08:31:10,08:31:30
Gulshan e Anwar,08:32:50,08:33:10
Wah Cantt Barrier No 2,08:34:30,08:34:50
Nawab Abad,08:36:40,08:37:00
University of Wah,08:38:50,08:39:10
Taxila Chowk,08:41:30,08:41:30
Tipu Sultan Shaheed Chowk,09:00:00,09:00:00
Hassan Abdal,09:01:20,09:01:40
WAPDA Colony,09:03:10,09:03:30
Dhok Dhollian,09:04:50,09:05:10
Askari Cement Factory Roac,09:06:30,09:06:50
Wah Gardens,09:08:45,09:09:05
Shah Wali Colony Road,09:10:10,09:10:30
Ahmad Nagar,09:11:20,09:11:40
Wah Cantt Barrier 03,09:12:30,09:12:50
Sabri Gali,09:13:30,09:13:50
Basti,09:15:20,09:15:40
Malakand Stop,09:16:50,09:17:10
Swedish College,09:18:40,09:19:00
Wah Model Town Phase 02,09:19:55,09:20:15
Wah Model Town Phase 01,09:21:55,09:22:15
Bahtar Morh,09:23:05,09:23:25
New City Phase 02,09:25:20,09:25:40
Losar Sharfoo,09:27:35,09:27:55
New City Phase 01,09:29:15,09:29:35
Jinnah Colony,09:31:10,09:31:30
Gulshan e Anwar,09:32:50,09:33:10
Wah Cantt Barrier No 2,09:34:30,09:34:50
Nawab Abad,09:36:40,09:37:00
University of Wah,09:38:50,09:39:10
Taxila Chowk,09:41:30,09:41:30
Tipu Sultan Shaheed Chowk,10:00:00,10:00:00
Hassan Abdal,10:01:20,10:01:40
WAPDA Colony,10:03:10,10:03:30
Dhok Dhollian,10:04:50,10:05:10
Askari Cement Factory Roac,10:06:30,10:06:50
Wah Gardens,10:08:45,10:09:05
Shah Wali Colony Road,10:10:10,10:10:30
Ahmad Nagar,10:11:20,10:11:40
Wah Cantt Barrier 03,10:12:30,10:12:50
Sabri Gali,10:13:30,10:13:50
Basti,10:15:20,10:15:40
Malakand Stop,10:16:50,10:17:10
Swedish College,10:18:40,10:19:00
Wah Model Town Phase 02,10:19:55,10:20:15
Wah Model Town Phase 01,10:21:55,10:22:15
Bahtar Morh,10:23:05,10:23:25
New City Phase 02,10:25:20,10:25:40
Losar Sharfoo,10:27:35,10:27:55
New City Phase 01,10:29:15,10:29:35
Jinnah Colony,10:31:10,10:31:30
Gulshan e Anwar,10:32:50,10:33:10
Wah Cantt Barrier No 2,10:34:30,10:34:50
Nawab Abad,10:36:40,10:37:00
University of Wah,10:38:50,10:39:10
Taxila Chowk,10:41:30,10:41:30
Tipu Sultan Shaheed Chowk,11:00:00,11:00:00
Hassan Abdal,11:01:20,11:01:40
WAPDA Colony,11:03:10,11:03:30
Dhok Dhollian,11:04:50,11:05:10
Askari Cement Factory Roac,11:06:30,11:06:50
Wah Gardens,11:08:45,11:09:05
Shah Wali Colony Road,11:10:10,11:10:30
Ahmad Nagar,11:11:20,11:11:40
Wah Cantt Barrier 03,11:12:30,11:12:50
Sabri Gali,11:13:30,11:13:50
Basti,11:15:20,11:15:40
Malakand Stop,11:16:50,11:17:10
Swedish College,11:18:40,11:19:00
Wah Model Town Phase 02,11:19:55,11:20:15
Wah Model Town Phase 01,11:21:55,11:22:15
Bahtar Morh,11:23:05,11:23:25
New City Phase 02,11:25:20,11:25:40
Losar Sharfoo,11:27:35,11:27:55
New City Phase 01,11:29:15,11:29:35
Jinnah Colony,11:31:10,11:31:30
Gulshan e Anwar,11:32:50,11:33:10
Wah Cantt Barrier No 2,11:34:30,11:34:50
Nawab Abad,11:36:40,11:37:00
University of Wah,11:38:50,11:39:10
Taxila Chowk,11:41:30,11:41:30
Tipu Sultan Shaheed Chowk,12:00:00,12:00:00
Hassan Abdal,12:01:20,12:01:40
WAPDA Colony,12:03:10,12:03:30
Dhok Dhollian,12:04:50,12:05:10
Askari Cement Factory Roac,12:06:30,12:06:50
Wah Gardens,12:08:45,12:09:05
Shah Wali Colony Road,12:10:10,12:10:30
Ahmad Nagar,12:11:20,12:11:40
Wah Cantt Barrier 03,12:12:30,12:12:50
Sabri Gali,12:13:30,12:13:50
Basti,12:15:20,12:15:40
Malakand Stop,12:16:50,12:17:10
Swedish College,12:18:40,12:19:00
Wah Model Town Phase 02,12:19:55,12:20:15
