StopName,ArrivalTime,DepartureTime
E-11/2 / FECHS / Islamabad International Hospite,06:58:10,06:58:30
Multy Stop/Islamabad Gardens,07:01:20,07:01:40
NPF Housing Society,07:03:10,07:03:30
Khayaban e Iqbal,07:06:00,07:06:20
Sumbal Road,07:08:35,07:08:55
G10/G11,07:11:25,07:11:45
Sunday Bazar,07:14:25,07:14:45
G-10 Metro Station,07:15:55,07:16:15
Police Foundation,07:18:35,07:18:55
Nust Metro Station,07:22:15,07:22:15
D-12,06:55:00,06:55:00
D-12 Markaz,06:56:10,06:56:30
IESCO D-12,06:57:50,06:58:10
D-12 Service Road,07:00:20,07:00:40
E-11/2 / FECHS / Islamabad International Hospite,07:03:10,07:03:30
Multy Stop/Islamabad Gardens,07:06:20,07:06:40
NPF Housing Society,07:08:10,07:08:30
Khayaban e Iqbal,07:11:00,07:11:20
Sumbal Road,07:13:35,07:13:55
G10/G11,07:16:25,07:16:45
Sunday Bazar,07:19:25,07:19:45
G-10 Metro Station,07:20:55,07:21:15
Police Foundation,07:23:35,07:23:55
Nust Metro Station,07:27:15,07:27:15
D-12,07:00:00,07:00:00
D-12 Markaz,07:01:10,07:01:30
IESCO D-12,07:02:50,07:03:10
D-12 Service Road,07:05:20,07:05:40
E-11/2 / FECHS / Islamabad International Hospite,07:08:10,07:08:30
Multy Stop/Islamabad Gardens,07:11:20,07:11:40
NPF Housing Society,07:13:10,07:13:30
Khayaban e Iqbal,07:16:00,07:16:20
Sumbal Road,07:18:35,07:18:55
G10/G11,07:21:25,07:21:45
Sunday Bazar,07:24:25,07:24:45
G-10 Metro Station,07:25:55,07:26:15
Police Foundation,07:28:35,07:28:55
Nust Metro Station,07:32:15,07:32:15
D-12,07:05:00,07:05:00
D-12 Markaz,07:06:10,07:06:30
IESCO D-12,07:07:50,07:08:10
D-12 Service Road,07:10:20,07:10:40
E-11/2 / FECHS / Islamabad International Hospite,07:13:10,07:13:30
Multy Stop/Islamabad Gardens,07:16:20,07:16:40
NPF Housing Society,07:18:10,07:18:30
Khayaban e Iqbal,07:21:00,07:21:20
Sumbal Road,07:23:35,07:23:55
G10/G11,07:26:25,07:26:45
Sunday Bazar,07:29:25,07:29:45
G-10 Metro Station,07:30:55,07:31:15
Police Foundation,07:33:35,07:33:55
Nust Metro Station,07:37:15,07:37:15
D-12,07:10:00,07:10:00
D-12 Markaz,07:11:10,07:11:30
IESCO D-12,07:12:50,07:13:10
D-12 Service Road,07:15:20,07:15:40
E-11/2 / FECHS / Islamabad International Hospite,07:18:10,07:18:30
Multy Stop/Islamabad Gardens,07:21:20,07:21:40
NPF Housing Society,07:23:10,07:23:30
Khayaban e Iqbal,07:26:00,07:26:20
Sumbal Road,07:28:35,07:28:55
G10/G11,07:31:25,07:31:45
Sunday Bazar,07:34:25,07:34:45
G-10 Metro Station,07:35:55,07:36:15
Police Foundation,07:38:35,07:38:55
Nust Metro Station,07:42:15,07:42:15
D-12,07:15:00,07:15:00
D-12 Markaz,07:16:10,07:16:30
IESCO D-12,07:17:50,07:18:10
D-12 Service Road,07:20:20,07:20:40
E-11/2 / FECHS / Islamabad International Hospite,07:23:10,07:23:30
Multy Stop/Islamabad Gardens,07:26:20,07:26:40
NPF Housing Society,07:28:10,07:28:30
Khayaban e Iqbal,07:31:00,07:31:20
Sumbal Road,07:33:35,07:33:55
G10/G11,07:36:25,07:36:45
Sunday Bazar,07:39:25,07:39:45
G-10 Metro Station,07:40:55,07:41:15
Police Foundation,07:43:35,07:43:55
Nust Metro Station,07:47:15,07:47:15
D-12,07:20:00,07:20:00
D-12 Markaz,07:21:10,07:21:30
IESCO D-12,07:22:50,07:23:10
D-12 Service Road,07:25:20,07:25:40
E-11/2 / FECHS / Islamabad International Hospite,07:28:10,07:28:30
Multy Stop/Islamabad Gardens,07:31:20,07:31:40
NPF Housing Society,07:33:10,07:33:30
Khayaban e Iqbal,07:36:00,07:36:20
Sumbal Road,07:38:35,07:38:55
G10/G11,07:41:25,07:41:45
Sunday Bazar,07:44:25,07:44:45
G-10 Metro Station,07:45:55,07:46:15
Police Foundation,07:48:35,07:48:55
Nust Metro Station,07:52:15,07:52:15
D-12,07:25:00,07:25:00
D-12 Markaz,07:26:10,07:26:30
IESCO D-12,07:27:50,07:28:10
D-12 Service Road,07:30:20,07:30:40
E-11/2 / FECHS / Islamabad International Hospite,07:33:10,07:33:30
Multy Stop/Islamabad Gardens,07:36:20,07:36:40
NPF Housing Society,07:38:10,07:38:30
Khayaban e Iqbal,07:41:00,07:41:20
Sumbal Road,07:43:35,07:43:55
G10/G11,07:46:25,07:46:45
Sunday Bazar,07:49:25,07:49:45
G-10 Metro Station,07:50:55,07:51:15
Police Foundation,07:53:35,07:53:55
Nust Metro Station,07:57:15,07:57:15
D-12,07:30:00,07:30:00
D-12 Markaz,07:31:10,07:31:30
IESCO D-12,07:32:50,07:33:10
D-12 Service Road,07:35:20,07:35:40
E-11/2 / FECHS / Islamabad International Hospite,07:38:10,07:38:30
Multy Stop/Islamabad Gardens,07:41:20,07:41:40
NPF Housing Society,07:43:10,07:43:30
Khayaban e Iqbal,07:46:00,07:46:20
Sumbal Road,07:48:35,07:48:55
G10/G11,07:51:25,07:51:45
Sunday Bazar,07:54:25,07:54:45
G-10 Metro Station,07:55:55,07:56:15
Police Foundation,07:58:35,07:58:55
Nust Metro Station,08:02:15,08:02:15
D-12,07:35:00,07:35:00
